interval_index,node_index,fraction,z_mid,group,raw_component_sum_kappa_cMpc_inv,authoritative_total_kappa_cMpc_inv,raw_sum_vs_authoritative_relative_residual,conditioned_kappa_sum_relative_residual,conditioned_current_sum_relative_residual,minimum_component_kappa_cMpc_inv,minimum_component_current_s-1_cMpc-3,exact_zero_G3_current
0,0,0.0,5.95,G1,0.03483795813299883,0.0348379578941765,6.8552333260485874e-09,0.0,0.0,0.0,0.0,True
0,0,0.0,5.95,G2a,0.016821706483033126,0.0168216818141389,1.4664939272149293e-06,0.0,0.0,0.0,0.0,True
0,0,0.0,5.95,G2b,0.0006096451812474283,0.0006096451812474,4.6416633104474895e-14,0.0,0.0,0.0,0.0,True
0,0,0.0,5.95,G3,1.9195993674947422,1.919599367494748,3.007481574441918e-15,0.0,0.0,0.0,0.0,True
0,1,0.0096073597983847,5.95,G1,0.03492930850755076,0.034929307742544,2.1901572311930496e-08,0.0,1.9556838653569777e-16,0.0,0.0,True
0,1,0.0096073597983847,5.95,G2a,0.017704288760012312,0.017704264340754,1.3792868115468222e-06,0.0,1.3437948893473275e-16,0.0,0.0,True
0,1,0.0096073597983847,5.95,G2b,0.0008444193114257426,0.0008444193114257,5.0459700295982016e-14,0.0,0.0,0.0,0.0,True
0,1,0.0096073597983847,5.95,G3,1.9195790097058223,1.9195790097058272,2.5448190898374666e-15,0.0,0.0,0.0,0.0,True
0,2,0.0380602337443566,5.95,G1,0.035202497272322386,0.0352024949366526,6.634955260201503e-08,0.0,0.0,0.0,0.0,True
0,2,0.0380602337443566,5.95,G2a,0.018234672681727824,0.0182346490702937,1.29486638502522e-06,0.0,1.284275375490455e-16,0.0,0.0,True
0,2,0.0380602337443566,5.95,G2b,0.0009913743210671648,0.0009913743210675,3.381521032051149e-13,0.0,0.0,0.0,0.0,True
0,2,0.0380602337443566,5.95,G3,1.9195858796528098,1.9195858796528151,2.776156344286399e-15,0.0,0.0,0.0,0.0,True
0,3,0.0842651938487273,5.95,G1,0.035649553752217386,0.0356495488722516,1.3688716800087544e-07,0.0,0.0,0.0,0.0,True
0,3,0.0842651938487273,5.95,G2a,0.018421831122245106,0.0184218090184116,1.1998731223682233e-06,0.0,1.2412158866323343e-16,0.0,0.0,True
0,3,0.0842651938487273,5.95,G2b,0.0009895384458699459,0.0009895384458707,7.621442444485498e-13,0.0,1.8378824665609198e-16,0.0,0.0,True
0,3,0.0842651938487273,5.95,G3,1.91959995092262,1.919599950922626,3.123152993463218e-15,0.0,0.0,0.0,0.0,True
0,4,0.1464466094067262,5.95,G1,0.036256392071020174,0.0362563838364027,2.271218638673052e-07,0.0,0.0,0.0,0.0,True
0,4,0.1464466094067262,5.95,G2a,0.018650292466070653,0.0186502727377223,1.05780481774703e-06,0.0,0.0,0.0,0.0,True
0,4,0.1464466094067262,5.95,G2b,0.0009758476107836483,0.0009758476107837,5.299643413178545e-14,0.0,0.0,0.0,0.0,True
0,4,0.1464466094067262,5.95,G3,1.9196183621187757,1.9196183621187812,2.891780591741544e-15,0.0,0.0,0.0,0.0,True
0,5,0.2222148834901988,5.95,G1,0.03700313547357384,0.0370031233512978,3.27601427643154e-07,0.0,0.0,0.0,0.0,True
