interval_index,z_mid,group,component,partition_lane,macro_index,macro_owner_current_s-1_cMpc-3
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,5,4.596399582803438e+45
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,6,8.431685697160847e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,7,6.188358706981145e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,8,2.7631194149561445e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,9,1.2914192807825819e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,10,1.2565989627340578e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,11,3.2189257993825355e+46
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,12,8.905236667767356e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,13,2.5889163464269196e+49
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,14,9.838705240082166e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,15,5.955692536331438e+48
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,16,6.028642679769347e+47
0,5.95,G1,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,17,1.6089759228528161e+46
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,0,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,1,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,2,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,3,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,4,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,5,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,6,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,7,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,8,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,9,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,10,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,11,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,12,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,13,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,14,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,15,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,16,0.0
0,5.95,G1,EXPLICIT_HI_ATOMIC,STATE_DERIVED,17,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,0,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,1,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,2,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,3,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,4,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,5,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,6,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,7,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,8,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,9,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,10,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,11,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,12,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,13,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,14,0.0
0,5.95,G1,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,15,0.0
