interval_index,z_mid,refinement,substep,fraction_left,fraction_right,dt_s,mode,species_reservoir,reservoir_start_cMpc-3,assigned_absorption_cMpc-3,recombination_supply_cMpc-3,material_inflow_cMpc-3,material_outflow_cMpc-3,capacity_cMpc-3,slack_cMpc-3,overshoot_cMpc-3,feasible,reachable,status
0,5.95,4,2,0.5,0.75,159640739812746.2,OWNER_CORRECT,HI,8.109269169479104e+64,1.7157899148670575e+62,4.0430253164829646e+64,0.0,0.0,1.2152294485962068e+65,1.2135136586813397e+65,0.0,True,True,PASS
0,5.95,4,2,0.5,0.75,159640739812746.2,OWNER_CORRECT,HeI,1.0028804899385212e+64,1.3344186887603048e+63,6.2809016735627914e+63,0.0,0.0,1.6309706572948004e+64,1.4975287884187698e+64,0.0,True,True,PASS
0,5.95,4,2,0.5,0.75,159640739812746.2,OWNER_CORRECT,HeII,4.252874319030634e+65,0.0,1.0237229264655479e+62,1.3344186887603048e+63,6.2809016735627914e+63,4.204433212109075e+65,4.204433212109075e+65,0.0,True,True,PASS
0,5.95,4,2,0.5,0.75,159640739812746.2,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,8.11742021038915e+64,4.0430253164829646e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
0,5.95,4,3,0.75,1.0,159640739812746.2,OWNER_CORRECT,HI,1.2135136586813397e+65,2.1626882158429897e+62,4.0430253164829646e+64,0.0,0.0,1.6178161903296362e+65,1.6156535021137932e+65,0.0,True,True,PASS
0,5.95,4,3,0.75,1.0,159640739812746.2,OWNER_CORRECT,HeI,1.4975287884187698e+64,1.357132622375004e+63,6.2809016735627914e+63,0.0,0.0,2.125618955775049e+64,1.9899056935375485e+64,0.0,True,True,PASS
0,5.95,4,3,0.75,1.0,159640739812746.2,OWNER_CORRECT,HeII,4.204433212109075e+65,0.0,1.0237229264655479e+62,1.357132622375004e+63,6.2809016735627914e+63,4.1562192445236635e+65,4.1562192445236635e+65,0.0,True,True,PASS
0,5.95,4,3,0.75,1.0,159640739812746.2,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,8.124081769671689e+64,4.0430253164829646e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
0,5.95,8,0,0.0,0.125,79820369906373.1,OWNER_CORRECT,HI,4.584453555491792e+62,4.411111618694238e+61,2.0215126582414823e+64,0.0,0.0,2.0673571937964002e+64,2.062946082177706e+64,0.0,True,True,PASS
0,5.95,8,0,0.0,0.125,79820369906373.1,OWNER_CORRECT,HeI,9.163383672936569e+60,5.915925728811679e+62,3.1404508367813957e+63,0.0,0.0,3.149614220454332e+63,2.5580216475731643e+63,0.0,True,True,PASS
