interval_index,node_index,fraction,z_snapshot,group,component,conditioned_kappa_cMpc_inv,authoritative_kappa_cMpc_inv,owner_current_s_inv_cMpc3,authoritative_current_s_inv_cMpc3,conditioned_fraction,raw_component_kappa_cMpc_inv
0,2,0.0380602337443566,5.996193976625564,G1,EFFECTIVE_HI_SUBGRID,0.0352024949366526,0.0352024949366526,4.2338369388530785e+50,4.2338369388530785e+50,1.0,0.0352024972723223
0,2,0.0380602337443566,5.996193976625564,G1,EXPLICIT_HI_ATOMIC,0.0,0.0352024949366526,0.0,4.2338369388530785e+50,0.0,0.0
0,2,0.0380602337443566,5.996193976625564,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0352024949366526,0.0,4.2338369388530785e+50,0.0,0.0
0,2,0.0380602337443566,5.996193976625564,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0352024949366526,0.0,4.2338369388530785e+50,0.0,0.0
0,2,0.0380602337443566,5.996193976625564,G2a,EFFECTIVE_HI_SUBGRID,0.016735103354535,0.0182346490702937,7.420998498572701e+49,8.085955641019634e+49,0.9177639388628795,0.0167351250242539
0,2,0.0380602337443566,5.996193976625564,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0182346490702937,0.0,8.085955641019634e+49,0.0,0.0
0,2,0.0380602337443566,5.996193976625564,G2a,EXPLICIT_HEI_ATOMIC,0.0014995457157586,0.0182346490702937,6.649571424469356e+48,8.085955641019634e+49,0.0822360611371205,0.0014995476574695
0,2,0.0380602337443566,5.996193976625564,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0182346490702937,0.0,8.085955641019634e+49,0.0,0.0
0,2,0.0380602337443566,5.996193976625564,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0009913743210675,0.0,1.6684114065237408e+48,0.0,0.0
0,2,0.0380602337443566,5.996193976625564,G2b,EXPLICIT_HI_ATOMIC,0.0003057460222834,0.0009913743210675,5.1454848106996695e+47,1.6684114065237408e+48,0.3084062354512829,0.0003057460222829
0,2,0.0380602337443566,5.996193976625564,G2b,EXPLICIT_HEI_ATOMIC,0.000685628298784,0.0009913743210675,1.153862925453774e+48,1.6684114065237408e+48,0.6915937645487171,0.0006856282987828
0,2,0.0380602337443566,5.996193976625564,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0009913743210675,0.0,1.6684114065237408e+48,0.0,0.0
0,2,0.0380602337443566,5.996193976625564,G3,EFFECTIVE_HI_SUBGRID,0.0,1.9195858796528151,0.0,0.0,0.0,0.0
0,2,0.0380602337443566,5.996193976625564,G3,EXPLICIT_HI_ATOMIC,9.182409805157828e-05,1.9195858796528151,0.0,0.0,4.7835368568238265e-05,9.182409805157854e-05
0,2,0.0380602337443566,5.996193976625564,G3,EXPLICIT_HEI_ATOMIC,0.0002818839982877,1.9195858796528151,0.0,0.0,0.0001468462553698,0.0002818839982877
0,2,0.0380602337443566,5.996193976625564,G3,EXPLICIT_HEII_ATOMIC,1.919212171556476,1.9195858796528151,0.0,0.0,0.999805318376062,1.9192121715564812
0,3,0.0842651938487273,5.991573480615127,G1,EFFECTIVE_HI_SUBGRID,0.0356495488722516,0.0356495488722516,4.2112068691209255e+50,4.2112068691209255e+50,1.0,0.0356495537522173
0,3,0.0842651938487273,5.991573480615127,G1,EXPLICIT_HI_ATOMIC,0.0,0.0356495488722516,0.0,4.2112068691209255e+50,0.0,0.0
0,3,0.0842651938487273,5.991573480615127,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0356495488722516,0.0,4.2112068691209255e+50,0.0,0.0
