refinement,dt_seconds,dt_Myr,converged,iterations,residual,minimum_species,max_hydrogen_residual,max_helium_residual,classification,clipping_used,parent_byte_unchanged_by_solver,elapsed_s,calls
1,638562959250984.8,20.234839127531394,False,40,0.13302637807989015,3.5275573019297594e-155,6.537223389046193e-16,6.768562294757575e-16,FIXED_POINT_NONCONVERGENCE,False,True,26.71632981300354,40
2,319281479625492.4,10.117419563765697,False,40,0.1469936199885531,4.46615463014254e-155,6.648739866644756e-16,7.77397621638578e-16,FIXED_POINT_NONCONVERGENCE,False,True,24.925212860107422,40
4,159640739812746.2,5.058709781882849,False,40,0.10784482370613802,5.118403683641627e-155,6.429854489913175e-16,6.417882246862645e-16,FIXED_POINT_NONCONVERGENCE,False,True,23.87536358833313,40
8,79820369906373.1,2.5293548909414243,False,40,0.1186895886857986,5.540088698364569e-155,6.255570360826128e-16,6.599189211623696e-16,FIXED_POINT_NONCONVERGENCE,False,True,23.93201780319214,40
