interval_index,node_index,fraction,z_snapshot,H_nuclei_relative_residual,He_nuclei_relative_residual,xHII_relative_residual,xHeI_relative_residual,xHeII_relative_residual,xHeIII_relative_residual,U_relative_residual,minimum_species,minimum_temperature_K,thermal_normalization_factor
2,1,0.0096073597983847,5.799039264020162,2.709503884302863e-16,2.1435948451763156e-16,2.220697068391654e-16,2.5584315265449857e-12,3.3395628454076323e-16,1.1011966535009656e-14,1.5412816434730848e-16,6.983239049436107e-154,2068.146602178439,0.8113317035474465
2,2,0.0380602337443566,5.796193976625564,1.3547519421514314e-16,2.1435948451763156e-16,0.0,2.3472047880394993e-12,5.565914954123415e-16,1.1841884786717367e-13,1.5401764678443634e-16,6.944943612666162e-154,2070.1876058135713,0.8122939622030325
2,3,0.0842651938487273,5.791573480615127,2.709503884302863e-16,0.0,1.1103493734121315e-16,2.0550072407917485e-12,3.3395315533750774e-16,4.4041550894209233e-14,0.0,6.985362660195721e-154,2073.5176727368857,0.8138599910319115
2,4,0.1464466094067262,5.785355339059327,4.0642558264542945e-16,4.2871896903526313e-16,0.0,2.261524025258302e-12,0.0,5.799427489564528e-15,0.0,7.04713957994964e-154,2078.0332193158865,0.8159740274848468
2,5,0.2222148834901988,5.77777851165098,0.0,0.0,1.1103558087141787e-16,1.5720907265158127e-12,0.0,3.458566131918213e-14,0.0,7.124684282044226e-154,2083.5889997513764,0.818560117530474
2,6,0.3086582838174551,5.769134171618254,2.709503884302863e-16,2.1435948451763156e-16,2.2207202932087956e-16,1.9597927660558504e-12,2.2262994456011375e-16,3.060808918640859e-14,0.0,7.21603471958511e-154,2090.000377364608,0.8215242280273362
2,7,0.4024548389919358,5.759754516100807,1.3547519421514314e-16,0.0,1.1103651385155114e-16,2.6578918867031867e-12,3.3394153010833016e-16,4.923730987921332e-14,0.0,7.318858576727638e-154,2097.048633001846,0.824757049376803
2,8,0.4999999999999999,5.75,2.709503884302863e-16,2.1435948451763156e-16,0.0,3.9547926406394734e-13,1.1131268196261305e-16,1.1458048524534922e-14,0.0,7.430198675368245e-154,2104.4895127147306,0.8281374933927534
2,9,0.5975451610080641,5.740245483899193,1.3547519421514314e-16,4.2871896903526313e-16,2.220753236785894e-16,1.5094669931590139e-12,0.0,3.47168115748092e-14,0.0,7.546416459845839e-154,2112.0604707879565,0.8315368533266296
2,10,0.6913417161825448,5.730865828381746,2.709503884302863e-16,2.1435948451763156e-16,2.2207655042687194e-16,9.134853146750153e-14,1.113104439329702e-16,3.1550074314077633e-15,0.0,7.663181356167983e-154,2119.4511947032324,0.8348235438017106
