z,shape_lane,group,macro_index,species,q_macro_group,j_abs_s-1_cMpc-3,threshold_supported,micro_node_count
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,15,HI,0.01481487946049056,5.963345588424711e+48,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,15,HeI,0.01481487946049056,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,15,HeII,0.01481487946049056,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,16,HI,0.0014996344097065613,6.0363894726399605e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,16,HeI,0.0014996344097065613,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,16,HeII,0.0014996344097065613,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,17,HI,4.002353077578265e-05,1.6110434534513658e+46,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,17,HeI,4.002353077578265e-05,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G1,17,HeII,4.002353077578265e-05,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,0,HI,0.17484566410423014,7.037958847196887e+49,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,0,HeI,0.17484566410423014,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,0,HeII,0.17484566410423014,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,1,HI,0.01774118809922406,7.141255254021324e+48,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,1,HeI,0.01774118809922406,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,1,HeII,0.01774118809922406,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,2,HI,0.00834674943933746,3.359767562031268e+48,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,2,HeI,0.00834674943933746,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,2,HeII,0.00834674943933746,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,3,HI,0.004119864793167369,1.6583447475736266e+48,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,3,HeI,0.004119864793167369,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,3,HeII,0.004119864793167369,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,4,HI,0.0004486599838250656,1.805964430815095e+47,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,4,HeI,0.0004486599838250656,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,4,HeII,0.0004486599838250656,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,5,HI,1.1433616721495e-05,4.6023059463764623e+45,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,5,HeI,1.1433616721495e-05,0.0,False,2560
