history_provenance,interval_index,z_mid,sequence,level,delta_chi_cMpc,group,component,finite_cell_deposition_rate,differential_hazard_rate,relative_difference,observed_order
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G2b,EXPLICIT_HI_ATOMIC,9.611994581820713e+47,9.614376044788035e+47,0.0002476981299908134,0.9997522866117448
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G2b,EXPLICIT_HEI_ATOMIC,1.5466704516410194e+48,1.5470485527076108e+48,0.0002444015515412579,0.9997551508620443
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G2b,TOTAL_PHYSICAL,2.5078699098230905e+48,2.508486157186414e+48,0.00024566504445640714,0.999754043984605
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,1,0.5,G3,TOTAL_PHYSICAL,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G1,EFFECTIVE_HI_SUBGRID,4.00404814600669e+50,4.025240782605081e+50,0.0052649363710050535,0.9946269120635095
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G1,TOTAL_PHYSICAL,4.00404814600669e+50,4.025240782605081e+50,0.0052649363710050535,0.9946269120635095
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2a,EFFECTIVE_HI_SUBGRID,9.793768388061032e+49,9.819056446195713e+49,0.002575406127182303,0.9974672114903307
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2a,EXPLICIT_HEI_ATOMIC,6.637044709575937e+48,6.654262600321941e+48,0.002587497936310966,0.9974580234550049
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2a,TOTAL_PHYSICAL,1.0457472859018629e+50,1.0484482706227906e+50,0.002576173566792529,0.9974666257852288
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,2,0.25,G2b,EXPLICIT_HI_ATOMIC,9.613185211067342e+47,9.614376044788035e+47,0.00012385969876210228,0.9998761345197932
