interval_index,substep,macro_index,group,shape_a,shape_b,node_count,total_variation,l1_distance,same_macro_group_total_by_construction
0,1,5,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.0937860314889474,0.1875720629778948,True
0,1,5,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.3300559807247254,0.6601119614494508,True
0,1,5,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.23886232049370396,0.4777246409874079,True
0,1,6,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.009132457981252009,0.018264915962504017,True
0,1,6,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.04793243720282413,0.09586487440564825,True
0,1,6,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.04450527440711753,0.08901054881423506,True
0,1,6,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.017331445991494096,0.03466289198298819,True
0,1,6,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.19675612051432606,0.3935122410286521,True
0,1,6,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.18276251814759548,0.36552503629519095,True
0,1,7,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.011671798415169934,0.023343596830339867,True
0,1,7,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.05120941701771751,0.10241883403543502,True
0,1,7,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.04402265146420521,0.08804530292841042,True
0,1,7,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.04101252096678201,0.08202504193356402,True
0,1,7,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.2854332648964729,0.5708665297929458,True
0,1,7,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.2454251032429709,0.4908502064859418,True
0,1,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.01239632978311995,0.0247926595662399,True
0,1,8,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.04806160633794468,0.09612321267588936,True
0,1,8,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.039858730056805736,0.07971746011361147,True
0,1,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.0527815905061205,0.105563181012241,True
0,1,8,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.302800248991163,0.605600497982326,True
0,1,8,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.25122287167039736,0.5024457433407947,True
0,1,9,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.012485729038078541,0.024971458076157083,True
0,1,9,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.04486968530801811,0.08973937061603622,True
0,1,9,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.03655122196315867,0.07310244392631735,True
0,1,9,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.05882569260478478,0.11765138520956955,True
0,1,9,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.3105694628268666,0.6211389256537332,True
0,1,9,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.25314491783069465,0.5062898356613893,True
0,1,10,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.012317210441580271,0.024634420883160542,True
0,1,10,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.04002002939509816,0.08004005879019632,True
0,1,10,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.031879924575152416,0.06375984915030483,True
0,1,10,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.06612867171894,0.13225734343788,True
0,1,10,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.3193294153739203,0.6386588307478406,True
0,1,10,G2a,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.25497266633516236,0.5099453326703247,True
0,1,11,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.01228487077642735,0.0245697415528547,True
0,1,11,G1,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.03886787758826105,0.0777357551765221,True
0,1,11,G1,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2560,0.030762695262717285,0.06152539052543457,True
0,1,11,G2a,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2560,0.06820178412640902,0.13640356825281805,True
