group,low_eV,high_eV,primary_source_fraction,primary_source_exact_zero,number_weighted_mean_photon_energy_eV,number_weighted_mean_HI_excess_eV,optically_thin_sigma_weighted_HI_excess_eV,optically_thick_HI_excess_eV,possible_group_excess_min_eV,possible_group_excess_max_eV,production_status,absorbed_excess_NHI_0e+00_cm_minus_2_eV,absorbed_excess_NHI_1e+16_cm_minus_2_eV,absorbed_excess_NHI_1e+17_cm_minus_2_eV,absorbed_excess_NHI_1e+18_cm_minus_2_eV,absorbed_excess_NHI_1e+19_cm_minus_2_eV,absorbed_excess_NHI_infinite_cm_minus_2_eV
G1,13.6,24.59,0.6727341885901934,False,17.764175190054125,4.1641751900541255,2.9240084038128336,4.1641751900541255,0.0,10.99,SPECTRAL_AUDITOR_NOT_DYNAMIC_HEATING_LOCK,2.9240084038128336,2.941710241902707,3.0935694696789033,3.9156969458822326,4.164174443320643,4.1641751900541255
G2a,24.59,39.5,0.23916139005996803,False,30.590431506864363,16.99043150686436,15.498762259794773,16.99043150686436,10.99,25.9,SPECTRAL_AUDITOR_NOT_DYNAMIC_HEATING_LOCK,15.498762259794773,15.503501352328769,15.545719048190751,15.922941579716397,16.955226982896892,16.99043150686436
G2b,39.5,54.42,0.08810442134983842,False,45.9694984339738,32.3694984339738,31.26185267521179,32.3694984339738,25.9,40.82,SPECTRAL_AUDITOR_NOT_DYNAMIC_HEATING_LOCK,31.26185267521179,31.262953246784853,31.27282632826332,31.368354658662103,32.01414343160325,32.3694984339738
G3,54.42,100.0,0.0,True,71.54566920339079,57.94566920339079,52.27078716107163,57.94566920339079,40.82,86.4,SPECTRAL_AUDITOR_NOT_DYNAMIC_HEATING_LOCK,52.27078716107163,52.27222294285259,52.28513475355679,52.413229516920346,53.58382352902598,57.94566920339079
