interval_index,node_index,fraction,group,component,owner_total_s_inv_cMpc3,allocation_sum_relative_residual,minimum_allocation,negative_allocation_count,zero_support_nonzero_allocation_count,support_count,allocation_sha256
0,2,0.0380602337443566,G1,EFFECTIVE_HI_SUBGRID,4.233836938853079e+50,0.0,1.0541846396500521e-165,0,0,46080,773a34afd7d472e08a376cef1293d5b645c5e188fcc44de7f6d328fb6ccfc832
0,2,0.0380602337443566,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G2a,EFFECTIVE_HI_SUBGRID,7.420998498572701e+49,0.0,1.8250423752475226e-166,0,0,46080,4785c12b85b584dd68ec4ea4e9cb24f4148c2d2471cfdf7e94647ee89d09e0ff
0,2,0.0380602337443566,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G2a,EXPLICIT_HEI_ATOMIC,6.649571424469356e+48,0.0,1.0600033131394505e-166,0,0,46080,eebce803d8a378323de3f471823d333fbd876d59d583ef26194a49408a18c312
0,2,0.0380602337443566,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G2b,EXPLICIT_HI_ATOMIC,5.145484810699669e+47,0.0,1.2611917368426962e-168,0,0,46080,f0bb6ae1e0cc68a8a498cc74d131c1462495149d402a03ddf17afde49cfb13cb
0,2,0.0380602337443566,G2b,EXPLICIT_HEI_ATOMIC,1.1538629254537739e+48,0.0,1.839364442930822e-167,0,0,46080,a4d3ab7fee12136cc6765244421ba04006b8755b83425f7f8761782c4ac59535
0,2,0.0380602337443566,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,0,0,0,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
0,2,0.0380602337443566,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,0,0,46080,36bd753facc985aad613c884a2040210d208b1aa520e957b31ba2e1e19cd4185
