shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,lp_pass,selected_model,one_mode_pass,two_mode_tested,two_mode_pass,refinement_pass,overall_pass,max_endpoint_relative_residual,max_current_Gamma_relative_residual,H_nuclei_identity_residual,He_nuclei_identity_residual,KL_work,TV_work,node_rate_count,lp_minimum_normalized_slack,lp_max_stationarity,lp_max_complementarity,refinement_order_2_to_4,refinement_order_4_to_8
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,False,False,0.00000000000000000e+00,8.32052037794866946e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-2.78492506833316611e-14,1.11022302462515654e-16,0.00000000000000000e+00,8.76027719499860247e-01,9.32201779246510043e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,True,TWO_MODE,False,True,True,False,False,8.96493068200162013e-23,5.87746603641124825e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-3.16621728835286831e-14,0.00000000000000000e+00,0.00000000000000000e+00,8.76326925217401076e-01,9.32379917892860233e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.70906082402157540e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,4.98953369159559658e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,False,True,False,False,False,,6.33524708218578258e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-2.27595720048157091e-15,0.00000000000000000e+00,0.00000000000000000e+00,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.34446150251385062e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,2,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,6.25751708006275891e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,3,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,6.06290684842821942e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,4,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,6.92134317926684785e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,6.32003171048795638e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,6,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,False,True,False,False,False,,6.16381147931733377e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1.67921232474554927e-15,0.00000000000000000e+00,0.00000000000000000e+00,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,7,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,False,True,False,False,False,,6.50516808675462555e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,8,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,False,True,False,False,False,,7.33550114327842129e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-4.57966997657877073e-15,0.00000000000000000e+00,0.00000000000000000e+00,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,9,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,False,True,False,False,False,,7.52462753973397718e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,10,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,7.16234009047630684e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,11,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.77277110858413206e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,12,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,6.53136670284600117e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,13,5.95000000000000018e+00,1.01174195637656954e+01,True,NONE,False,True,False,False,False,,5.69015399008264250e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1.83186799063150829e-15,0.00000000000000000e+00,0.00000000000000000e+00,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,14,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,5.97934352163015424e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,15,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,6.92765344901581579e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,16,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,7.20805161274694951e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,17,5.95000000000000018e+00,1.01174195637656954e+01,False,NONE,False,False,False,False,False,,6.57806133719808853e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,0,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,6.14452224689888867e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,1,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.71617889250067401e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,7.10717117003632119e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,3,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,False,False,False,False,False,,5.26627834647147976e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,,,,,
