shape_lane,interval_index,substep,z_mid,dt_Myr,macro_index,family,identifiability,status,usable,endpoint_changed,endpoint_previous,endpoint_target,evidence_secant_Myr_inv,evidence_start_process_Myr_inv,evidence_end_process_Myr_inv,k_min_Myr_inv,k_max_Myr_inv,a_lower_fast,a_upper_slow
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,0,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,4.73216563248184889e+49,4.73428154941028034e+49,4.41846920437977855e-05,2.01507981997007235e+00,2.01905706438181065e+00,4.41846920437977855e-05,2.01905706438181065e+00,1.00000000134395717e+00,2.23746101022214134e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,0,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,9.46319807740800675e+64,9.46743261769955807e+64,4.42182368552038486e-05,1.52224072333700597e-02,1.52517722479504885e-02,4.42182368552038486e-05,1.52517722479504885e-02,6.99337503746245215e+00,2.23576400830512421e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,0,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,False,3.53237582109930393e+49,3.53237582109931276e+49,2.46985678886627736e-16,7.17531791731265602e-03,7.12406564647470597e-03,2.46985678886627736e-16,7.17531791731265602e-03,1.42809693082894125e+01,4.00182845216742125e+14
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,0,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,False,9.51194206589197982e+48,9.51194206589198501e+48,5.39536161158525847e-17,3.74908594959265633e-03,3.72230676423842980e-03,5.39536161158525847e-17,3.74908594959265633e-03,2.68667686794644496e+01,1.83193340539779600e+15
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,0,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,9.53522954022475929e+64,9.53949307518265198e+64,4.41846920437616815e-05,0.00000000000000000e+00,4.41748181973601524e-05,4.41748181973601524e-05,4.41846920437616815e-05,2.23746101022396897e+03,2.23796101021461754e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,0,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,2.87290258589679235e+53,2.87416143243606484e+53,4.32999097097715426e-05,5.88685966567699184e-02,5.86069893478311787e-02,4.32999097097715426e-05,5.88685966567699184e-02,2.22832619876283067e+00,2.28317065561759000e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,1,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,4.30568875556103714e+48,4.30761397974674848e+48,4.41846920437856356e-05,2.01507981997011365e+00,2.01905706438184529e+00,4.41846920437856356e-05,2.01905706438184529e+00,1.00000000134395717e+00,2.23746101022275616e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,1,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,8.61034644980777938e+63,8.61419936070192711e+63,4.42182368551993153e-05,1.52224072333701499e-02,1.52517722479505388e-02,4.42182368551993153e-05,1.52517722479505388e-02,6.99337503746242994e+00,2.23576400830535340e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,1,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,False,3.58422064397981161e+48,3.58422064397980058e+48,3.04266368799837939e-16,7.28063034876811656e-04,7.22862584627689364e-04,3.04266368799837939e-16,7.28063034876811656e-04,1.36257309307084910e+02,3.24845076025017438e+14
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,1,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,False,4.95276683941119244e+47,4.95276683941118677e+47,1.13333926888008629e-16,1.95210908988054907e-04,1.93816545352426387e-04,1.13333926888008629e-16,1.95210908988054907e-04,5.06821415877665913e+02,8.72108065242527250e+14
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,1,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,8.67588622241587268e+63,8.67976551489057981e+63,4.41846920437967826e-05,0.00000000000000000e+00,4.41748181973601457e-05,4.41748181973601457e-05,4.41846920437967826e-05,2.23746101022219182e+03,2.23796101021461800e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,1,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,2.61398803858657874e+52,2.61513343412216928e+52,4.32999097097492758e-05,4.98645334355111644e-02,4.96068697929570590e-02,4.32999097097492758e-05,4.98645334355111644e-02,2.52402339245525731e+00,2.28317065561876370e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,2,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,1.99368758328836840e+48,1.99457903080629233e+48,4.41846920437707617e-05,2.01507981997011720e+00,2.01905706438185373e+00,4.41846920437707617e-05,2.01905706438185373e+00,1.00000000134395717e+00,2.23746101022350922e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,2,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,3.98689774838498787e+63,3.98868178365675593e+63,4.42182368551831878e-05,1.52224072333701221e-02,1.52517722479505510e-02,4.42182368551831878e-05,1.52517722479505510e-02,6.99337503746242461e+00,2.23576400830616876e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,2,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,False,1.68627892806731803e+48,1.68627892806731316e+48,2.85319607159883204e-16,3.42533977666700264e-04,3.40087306397652460e-04,2.85319607159883204e-16,3.42533977666700264e-04,2.89053945219018203e+02,3.46416542096432812e+14
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,2,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,False,2.02673950430807216e+47,2.02673950430806770e+47,2.17607839391383403e-16,7.98829570917202137e-05,7.93123645410650612e-05,2.17607839391383403e-16,7.98829570917202137e-05,1.23780318309740483e+03,4.54208965913537062e+14
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,2,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,4.01724500251280572e+63,4.01904125339805071e+63,4.41846920437871806e-05,0.00000000000000000e+00,4.41748181973601524e-05,4.41748181973601524e-05,4.41846920437871806e-05,2.23746101022267794e+03,2.23796101021461754e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,2,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.21036976689582313e+52,1.21090012591313743e+52,4.32999097097456641e-05,4.84642874511335212e-02,4.82072370987000412e-02,4.32999097097456641e-05,4.84642874511335212e-02,2.58012646580320970e+00,2.28317065561895424e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,3,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,9.74349805871620308e+47,9.74785471782023898e+47,4.41846920437575480e-05,2.01507981997011321e+00,2.01905706438184884e+00,4.41846920437575480e-05,2.01905706438184884e+00,1.00000000134395717e+00,2.23746101022417815e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,3,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.94846628916735278e+63,1.94933817824129117e+63,4.42182368551942466e-05,1.52224072333700701e-02,1.52517722479505024e-02,4.42182368551942466e-05,1.52517722479505024e-02,6.99337503746244682e+00,2.23576400830560942e+03
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,3,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,False,8.32328948855565766e+47,8.32328948855566090e+47,3.85367221280878206e-17,1.69071047994059323e-04,1.67863397651244644e-04,3.85367221280878206e-17,1.69071047994059323e-04,5.85103082419313637e+02,2.56481159389005900e+15
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95000000000000018e+00,1.01174195637656954e+01,3,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,False,9.08351847292846637e+46,9.08351847292847246e+46,6.62089864670912228e-17,3.58022486299994287e-05,3.55465182826422756e-05,6.62089864670912228e-17,3.58022486299994287e-05,2.76120460843985984e+03,1.49284012607211225e+15
