shape_lane,interval_index,substep,macro_index,constraint,box_deficit,best_single_bound_family,best_single_bound_direction,minimum_z_extension,required_z,required_a,required_k_Myr_inv,rate_factor_outside_locked_bound,finite_positive_scalar_rate_exists,locked_k_min_Myr_inv,locked_k_max_Myr_inv
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,J_G2A_NONNEGATIVE,1.0183840212140882,J_G2a,z_below_0,1.3750030752882117e-12,-1.3750030752882117e-12,613.2644581445148,0.00016130089192862576,2.0192153345478046,True,2.1760783939138338e-16,7.988295709172021e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,J_G2A_NONNEGATIVE,3.4976690660629033,J_G2a,z_below_0,1.4383895139217769e-12,-1.4383895139217769e-12,613.9190251400419,0.00016112877094334673,4.500520975890147,True,6.620898646709122e-17,3.580224862999943e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,J_G2A_NONNEGATIVE,47.04071794622001,J_G2a,z_below_0,1.121346840038375e-10,-1.121346840038375e-10,614.4442821172561,0.00016099091796373287,48.079038821280285,True,3.8345442571220575e-16,3.3484637361859364e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,J_G2A_NONNEGATIVE,1936.514706810411,J_G2a,z_below_0,2.2398809179460153e-09,-2.2398809179460153e-09,614.7405729382299,0.00016091326084626011,1939.091483842239,True,1.8596982890239656e-16,8.298384175635507e-08
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,J_G2A_NONNEGATIVE,4.677602023729428,J_G2a,z_below_0,5.3820702682459375e-12,-5.3820702682459375e-12,559.6892912055382,0.00017675491930918246,5.6817859763728595,True,2.0319327824800556e-16,3.110904212939385e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,J_G2A_NONNEGATIVE,228.73634191846702,J_G2a,z_below_0,1.2490375003495206e-10,-1.2490375003495206e-10,559.8836088829994,0.00017669351846877178,229.94085707337098,True,9.63990585539707e-17,7.684302855859639e-07
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,MACRO_MASS_CAP,0.012685895952302486,M,z_below_0,1468.8905098650955,-1468.8905098650955,1503.0157686987725,6.578262765169429e-05,1.4888103686800596,True,4.417481819736015e-05,4.418469204376609e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,J_G2A_NONNEGATIVE,6.637733230226654,J_G2a,z_below_0,3.3502585937675224e-12,-3.3502585937675224e-12,521.9043099924038,0.00018956395278570901,7.644100779094793,True,9.558679322740806e-17,2.479872495979272e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,J_G2A_NONNEGATIVE,282.8700157360406,J_G2a,z_below_0,1.6581338740195326e-10,-1.6581338740195326e-10,521.8538806303695,0.00018958228888220745,284.14138692900246,True,1.1102326608135375e-16,6.672111054683413e-07
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,CYCLING_CAPACITY,0.019821872773179483,C,z_above_1,0.037165726848911604,1.0371657268489116,93.73509654595,0.0010601198787423692,1.0369597969834354,True,0.0010993016942387915,2.157967148926181
