shape_lane,interval_index,substep,substeps_per_interval,z_mid,projection_method,feasible,identity_projection,optimizer_status,generalized_KL_total,generalized_KL_mass,generalized_KL_G1,generalized_KL_G2a,TV_mass,TV_G1,TV_G2a,serialization_TV_mass,serialization_TV_G1,serialization_TV_G2a,mass_sum_relative_residual,kappa_sum_relative_residual_max,J_sum_relative_residual_max,mass_transfer_sum_relative_residual,current_Gamma_relation_relative_residual_max,mass_cap_slack_min_fraction_cosmic_H,volume_filling_max,cycling_slack_min_fraction_of_global_J,cycling_capacity_over_global_J,prior_mass_upper_slack_min_normalized,prior_cycling_slack_min_normalized,stationarity_residual_max,complementarity_residual_max,KKT_gate,exact_zero_gate,R2B_core_gate
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0176466754165974e-17,1.440633636690114e-17,2.380675036717673e-16,0.0,0.0,2.233892081732747e-16,0.0,0.0,4.7446885608377044e-05,0.03864712506207697,5.671226595980674e-07,1.0559178333723993,0.0004956369211407852,5.671226595980681e-07,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,0,1,2,5.95,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.228917985047101e-17,2.1470337037117829e-16,6.032229837166225e-17,0.0,0.0,1.1169460408663735e-16,0.0,0.0,4.74468751437142e-05,0.0386470579458441,5.671199437767834e-07,1.0559178333723993,0.0004956368118254932,5.671199437767818e-07,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,0,1,2,5.95,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117243554956849e-17,2.1382245610603381e-16,2.5793847309787954e-17,0.0,0.0,1.1169460408663735e-16,0.0,0.0,4.7446871600885466e-05,0.03864703270951935,5.67117107891559e-07,1.0559178333723993,0.0004956367748164406,5.671171078915568e-07,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,2,5.95,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2205815745218738e-17,7.174030250065022e-17,9.932011877972387e-17,0.0,0.0,4.422367926365689e-16,0.0,0.0,4.740520315996414e-05,0.03907511968132529,5.714377218560518e-07,1.0563399416412391,0.0004897856266276215,5.714377218560489e-07,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,0,2,2,5.95,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.496934543893062e-16,1.8042225292990224e-16,2.674252421071277e-17,0.0,0.0,2.2111839631828444e-16,0.0,0.0,4.740519258455033e-05,0.039075051852509084,5.714349868127171e-07,1.0563399416412391,0.0004897855173634225,5.714349868127101e-07,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,0,2,2,5.95,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8150984323417677e-16,1.951267448942369e-16,4.217885264147514e-17,0.0,0.0,2.2111839631828444e-16,0.0,0.0,4.740518900417803e-05,0.039075026348246375,5.714321308556492e-07,1.0563399416412391,0.0004897854803716678,5.714321308556486e-07,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3730475050276478e-17,8.015388076572719e-17,1.8017449579283036e-16,0.0,0.0,1.228042980189418e-16,0.0,0.0,4.6473773348263365e-05,0.05195995134361708,1.303572545939995e-06,1.1067240872073583,0.00037936608742941897,1.3035725459399977e-06,0.0,0.0,True,True,True
RECOMBINATION_WEIGHTED_AUDITOR,1,1,2,5.85,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8598217719567947e-16,1.1562507949789552e-16,8.804441618587462e-17,0.0,0.0,1.6026518772716602e-16,0.0,0.0,4.647375099907298e-05,0.05195976344778179,1.3035578441108771e-06,1.1067240872073583,0.0003793659049925157,1.303557844110878e-06,0.0,0.0,True,True,True
SCRIPT_SELF_SHIELDING_AUDITOR,1,1,2,5.85,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.969062471886335e-17,1.9306676076651444e-16,3.0479337112467204e-16,0.0,0.0,2.456085960378836e-16,0.0,0.0,4.647374258697788e-05,0.0519597156378211,1.3035449150229521e-06,1.1067240872073583,0.00037936583632476974,1.3035449150229528e-06,0.0,0.0,True,True,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,ANALYTIC_IDENTITY_I_PROJECTION,True,True,UNIQUE_ZERO_GKL_OPTIMUM; NUMERICAL_FALLBACK_NOT_EXERCISED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0404952724071825e-17,1.121242923268935e-16,1.4343698280451685e-16,0.0,0.0,0.0,0.0,0.0,4.651832371085845e-05,0.051585941518892335,1.0813102551462173e-06,1.0888108901173597,0.00038269243273726775,1.0813102551462205e-06,0.0,0.0,True,True,True
