shape_lane,interval_index,substep,substeps_per_interval,z_mid,macro_index,macro_density_index,zre_index,density_sigma,z_re,W_macro_fixed,D_L_mass,f_macro_mass,p_mass,p_kappa_G1,p_kappa_G2a,M_sink_H_cMpc3,M_sink_H_fraction_of_global,M_sink_H_cap_cosmic_cMpc3,M_sink_H_cap_volume_cMpc3,mass_cap_slack_cMpc3,volume_filling_macro,kappa_sink_G1_cMpc_inv,kappa_sink_G2a_cMpc_inv,kappa_sink_G2b_cMpc_inv,kappa_sink_G3_cMpc_inv,J_sink_G1_s_inv_cMpc3,J_sink_G2a_s_inv_cMpc3,J_sink_G2b_s_inv_cMpc3,J_sink_G3_s_inv_cMpc3,J_sink_macro_total_s_inv_cMpc3,cycling_capacity_macro_s_inv_cMpc3,cycling_capacity_slack_s_inv_cMpc3,mass_transfer_rate_macro_H_s_inv_cMpc3,current_Gamma_flux_G1_s_inv_cMpc2,current_Gamma_flux_G2a_s_inv_cMpc2,single_Jeans_cloud_H_auditor,single_Jeans_cloud_count_auditor_cMpc3,geometry_mass_inversion_used,HeII_G3_sink_absorption_exact_zero
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,0,0,0,-1.7320508075688772,6.0,0.0631697623782937,0.5727156772378648,0.036178313241439476,0.1804146299385046,0.17484566410423,0.20461707642899207,9.539493075182652e+64,0.1804146299385046,1.9982867080879831e+65,1.406538245611929e+67,1.044337400569718e+65,0.006782249330897076,0.003343251001252587,0.0017468404186684447,0.0,0.0,3.532375821099312e+49,9.511942065891984e+48,0.0,0.0,4.4835700276885107e+49,4.73428154941028e+49,2.507115217217696e+48,1.335353044246615e+47,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.199644883000122,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,1,0,1,-1.7320508075688772,7.0,0.1210051431909678,0.5727156772378648,0.06930154253187994,0.01641551255376318,0.01774118809922405,0.01065419305431547,8.679765514890578e+63,0.01641551255376318,3.827827747724472e+65,2.6943011245571405e+67,3.741030092575566e+65,0.0003221527629476554,0.00033923200314983583,9.095611852334073e-05,0.0,0.0,3.5842206439798e+48,4.952766839411182e+47,0.0,0.0,4.079497327920918e+48,4.307613979746748e+48,2.2811665182582963e+47,1.2150070462139308e+46,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.018165229085358336,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,2,0,2,-1.7320508075688772,8.0,0.0681481967856101,0.5727156772378648,0.039029540674609974,0.0076009682561199365,0.008346749439337454,0.0043598406001831725,4.01904125339805e+63,0.007600968256119936,2.155772488130218e+65,1.5173880910684788e+67,2.1155820755962377e+65,0.00026486574377738894,0.0001595994877152593,3.722047989476873e-05,0.0,0.0,1.686278928067314e+48,2.0267395043080645e+47,0.0,0.0,1.8889528784981205e+48,1.9945790308062927e+48,1.0562615230817211e+47,5.6259163148195474e+45,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.008411149465528117,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,3,0,3,-1.7320508075688772,9.0,0.0339159297807176,0.5727156772378648,0.019424184693515548,0.003714725419802949,0.004119864793167366,0.0019540100021047304,1.9641753792635316e+63,0.0037147254198029484,1.0728828021765943e+65,7.551722624250346e+66,1.053241048383959e+65,0.0002600963352329845,7.877657227216796e-05,1.6681616753250225e-05,0.0,0.0,8.323289488555666e+47,9.083518472928474e+46,0.0,0.0,9.231641335848513e+47,9.747854717820245e+47,5.162133819717325e+46,2.7494831763726468e+45,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.004110675071455826,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,4,0,4,-1.7320508075688772,12.0,0.0034028936270405,0.5727156772378648,0.0019488905281789144,0.0003989198975204572,0.0004486599838250651,0.00018275197459831835,2.10930432928089e+62,0.00039891989752045717,1.0764576037551994e+64,7.57688465490606e+65,1.0553645604623905e+64,0.00027838675462943835,8.578896982260538e-06,1.560175433014733e-06,0.0,0.0,9.06419777051896e+46,8.495508904457523e+45,0.0,0.0,9.913748660964714e+46,1.0468104006684382e+47,5.543553457196687e+45,2.952636932747992e+44,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.0004414404546573573,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,5,0,5,-1.7320508075688772,15.0,8.832546836890543e-05,0.5727156772378648,5.058538043424929e-05,1.0142071417917203e-05,1.1433616721494991e-05,4.52908023964516e-06,5.362659341551566e+60,1.0142071417917203e-05,2.794052134789696e+62,1.96665532123548e+64,2.7404255413741805e+62,0.00027267916668705674,2.186239547197995e-07,3.866529890896117e-08,0.0,0.0,2.3099132289977447e+45,2.10541317484961e+44,0.0,0.0,2.5204545464827057e+45,2.6613929038356318e+45,1.4093835735292613e+44,7.506733765160073e+42,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,1.122310680846188e-05,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,6,1,0,0.0,6.0,0.1407927291833922,1.0314707763860589,0.14522358568030572,0.2120265803414023,0.20973951642091404,0.2219660455496946,1.1210987133420885e+65,0.2120265803414023,8.021334743528932e+65,3.134891613405384e+67,6.900236030186844e+65,0.0035761960909527473,0.004010461751333129,0.0018949506400203313,0.0,0.0,4.2373301066970813e+49,1.0318435795834112e+49,0.0,0.0,5.269173686280493e+49,5.563814462480156e+49,2.9464077619966354e+48,1.5693313763778343e+47,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.23462632625526916,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,7,1,1,0.0,7.0,0.2696961918751432,1.0314707763860589,0.27818374042181754,0.14758805745644663,0.15393640242999418,0.1199984682763843,7.803775406491859e+64,0.14758805745644663,1.5365306480192269e+66,6.005056759539585e+67,1.4584928939543084e+66,0.0012995339959268233,0.0029434417730056163,0.0010244412549616048,0.0,0.0,3.1099497303323163e+49,5.5783148609145984e+48,0.0,0.0,3.667781216423776e+49,3.872875595330177e+49,2.0509437890640123e+48,1.09238459146072e+47,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.1633193520567094,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,8,1,2,0.0,8.0,0.1518886608582504,1.0314707763860589,0.15666871493969836,0.06474103377987608,0.06873303283841381,0.04739200588501915,3.423207107061138e+64,0.06474103377987608,8.653499364327135e+65,3.381953683671262e+67,8.311178653621022e+65,0.00101219810418725,0.0013142549575559913,0.0004045912142159525,0.0,0.0,1.3886012247035424e+49,2.203090877027319e+48,0.0,0.0,1.6089103124062742e+49,1.6988770911665434e+49,8.99667787602692e+47,4.791858430499688e+46,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.07164172949109474,False,0.0
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,5.95,9,1,3,0.0,9.0,0.075591804319662,1.0314707763860589,0.07797073709002482,0.02988566610972495,0.03212425903626708,0.020156853412550857,1.5802161110665916e+64,0.02988566610972495,4.306665335860749e+65,1.683127493716077e+67,4.1486437247540897e+65,0.0009388570485398741,0.0006142529283624317,0.00017208146489395258,0.0,0.0,6.490006856721113e+48,9.370225850010956e+47,0.0,0.0,7.427029441722209e+48,7.842332836496335e+48,4.153033947741259e+47,2.2120110343912772e+46,1.0565691357830649e+52,5.445226687130702e+51,4.778230692332256e+65,0.033071155681168835,False,0.0
