interval_index,z_mid,emission_rate,storage_rate,ionized_absorption_rate,threshold_redshift_loss_rate,front_absorption_rate,relative_photon_ledger_residual,HI_partition_residual,total_transport_history_reused_exactly
0,5.95,6.504132489017137e+50,-4.95927127469669e+48,5.098771926449397e+50,8.663715013166046e+48,1.368316125215811e+50,-5.0375110568438e-12,0.0,True
1,5.85,5.713180960773112e+50,-7.981601638566459e+49,4.8554569313174815e+50,5.1922980862324696e+48,1.6039612141246738e+50,-2.9313312662123364e-10,0.0,True
2,5.75,6.4058801658846735e+50,-3.4088008776482724e+49,5.1291700737561905e+50,2.9259884196835017e+48,1.5883302956712947e+50,3.930721684703218e-12,0.0,True
3,5.65,8.196861840976753e+50,2.344695777403277e+50,4.142739702853081e+50,4.6032596495753166e+48,1.6633937647568671e+50,-6.493028202410864e-11,0.0,True
4,5.55,5.1866226009630125e+50,-3.795351251827683e+49,4.653636916166383e+50,5.373645287330209e+48,8.587843569587723e+49,2.8404481049088195e-11,0.0,True
