lane,interval_index,substep,substeps,z_mid,dt_Myr,H_photon_partition_residual,sink_rate_total,sink_fraction,sink_mass_fraction,sink_volume_filling_max,sink_opacity_fraction_max,mass_transfer_H_residual,macro_sink_redistribution_TV,sink_solver_residual,sink_solver_nfev,diffuse_H_nuclei_residual,He_nuclei_residual,reaction_limiter_weighted,energy_limiter_weighted,stoich_residual,sink_internal_residual
PRIMARY_DIAGNOSTIC_DT_OVER_1,0,1,1,5.95,20.234839127531394,1.6473719543809825e-16,3.087903916450827e+50,0.6123164815565514,0.11332652244454669,2664448.7617488485,0.2041602159036111,0.0,0.05312322345183739,2.1029962793724785e-16,18,1.3547519421514314e-16,0.0,0.032280150693710805,0.0,1.5407439555097887e-33,0.0
PRIMARY_DIAGNOSTIC_DT_OVER_1,1,1,1,5.85,20.97848790965782,5.229096452132526e-16,4.156131632458852e+50,0.8719974097366899,0.6817840313256248,0.0011737043396872616,0.34517059217197876,0.0,0.32608466453839163,2.1335593576354751e-16,18,6.773759710757157e-16,6.430784535528947e-16,0.03354630019715029,0.0028800754966092526,6.162975822039155e-33,0.0
PRIMARY_DIAGNOSTIC_DT_OVER_1,2,1,1,5.75,21.760874661948566,1.645691126955559e-16,1.3739878872272606e+50,0.27217719539156615,0.060112999555537255,69110.34091528044,0.13646223626768816,0.0,0.1077863818896471,2.1563359531849197e-16,18,1.3547519421514314e-16,0.0,0.04581329649793451,0.003218878771957283,2.465190328815662e-32,0.0
PRIMARY_DIAGNOSTIC_DT_OVER_1,3,1,1,5.65,22.584624915615045,4.082345162419317e-16,1.884349023192172e+50,0.4629793018824062,0.23676381278363806,0.0005390143073446688,0.1868047907270691,0.0,0.022102598506591725,1.8758543947415803e-16,18,2.709503884302863e-16,2.1435948451763156e-16,0.053509930862284165,0.0010397455786860367,1.9721522630525295e-31,0.0
PRIMARY_DIAGNOSTIC_DT_OVER_1,4,1,1,5.55,23.45258417988467,1.8131000390193163e-16,1.0293024290603584e+50,0.22463905728256897,0.048092119271196616,0.04985949858072093,0.20284374268183758,0.0,0.012939195804417198,2.1738755056968657e-16,18,0.0,4.2871896903526313e-16,0.04028565906807568,0.0018920785948603625,4.81482486096809e-35,0.0
