envelope_type,interval_index,substep,z_mid,lane_A,lane_B,mass_TV,mass_symmetric_KL,G1_TV,G1_symmetric_KL,G2a_TV,G2a_symmetric_KL
CROSS_PRIOR_LANE_SPREAD,0,1,5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.905927943939442e-07,2.475101921547041e-12,5.145555747980424e-17,2.949029909160572e-17,5.295659446782643e-06,7.282267508408724e-11
CROSS_PRIOR_LANE_SPREAD,0,1,5.95,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.4778960443251563e-07,3.204245747315433e-13,2.6634527509937847e-16,1.582850468534111e-17,1.8592657995877683e-06,1.0085911365578093e-11
CROSS_PRIOR_LANE_SPREAD,0,2,5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,6.477862765695277e-07,1.1087020278905627e-12,2.479578838803821e-16,1.5835280948919145e-17,3.4646523291067103e-06,3.165315081712309e-11
CROSS_PRIOR_LANE_SPREAD,0,2,5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.901297992661846e-07,2.47277842038723e-12,5.145555747980424e-17,2.949029909160572e-17,5.295659446782643e-06,7.282267508408724e-11
CROSS_PRIOR_LANE_SPREAD,0,2,5.95,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.4762705033289193e-07,3.201710543822983e-13,2.6634527509937847e-16,1.582850468534111e-17,1.8592657995877683e-06,1.0085911365578093e-11
CROSS_PRIOR_LANE_SPREAD,1,1,5.85,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.0593717036362563e-06,3.544180768839749e-12,1.5749900027835911e-16,5.319366908757006e-18,3.824428101098633e-06,4.632281689985864e-11
CROSS_PRIOR_LANE_SPREAD,1,1,5.85,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.5240153031004559e-06,7.171040615937469e-12,5.07592963971612e-17,2.202285662861181e-19,5.501833711527983e-06,9.693499433610899e-11
CROSS_PRIOR_LANE_SPREAD,1,1,5.85,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,5.402814401216493e-07,7.836742458309023e-13,1.492607578333638e-16,6.508601166702044e-18,1.9504650873061854e-06,1.1279799017976889e-11
CROSS_PRIOR_LANE_SPREAD,1,2,5.85,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.0771757595048997e-06,3.663719053309566e-12,1.5749900027835911e-16,5.319366908757006e-18,3.824428101098633e-06,4.632281689985864e-11
CROSS_PRIOR_LANE_SPREAD,1,2,5.85,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.5496282711077563e-06,7.414153884711635e-12,5.07592963971612e-17,2.202285662861181e-19,5.501833711527983e-06,9.693499433610899e-11
CROSS_PRIOR_LANE_SPREAD,1,2,5.85,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,5.493615400750395e-07,8.104898164689204e-13,1.492607578333638e-16,6.508601166702044e-18,1.9504650873061854e-06,1.1279799017976889e-11
CROSS_PRIOR_LANE_SPREAD,2,1,5.75,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,7.717779651350462e-07,2.127254056295846e-12,2.2774174852826373e-16,1.561589941558028e-17,2.404119909634092e-06,2.0450642287574833e-11
CROSS_PRIOR_LANE_SPREAD,2,1,5.75,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.1666623212855833e-06,3.817259159658829e-12,2.3780958213932835e-16,2.0818375777616194e-17,3.6342008206879295e-06,3.7681378917433746e-11
