interval_index,node_index,fraction,z_eval,weight_sum,mass_density_sum,mass_xHII,target_xHII,mass_xHeII,target_xHeII,mass_xHeIII,target_xHeIII,temperature_weighted_mean,target_T_K
0,0,0.0,6.0,0.9999999999999999,1.0,0.999917,0.999917,0.997137,0.997137,0.002841999999999882,0.002842,13957.92366404819,13957.923664049096
0,1,0.0096073597983847,5.999039264020162,0.9999999999999999,0.9999999999999998,0.9999421401802109,0.9999421401802108,0.9970676410727984,0.9970676410727984,0.002840573682527785,0.0028405736825277,13954.963445637728,13954.963445638488
0,2,0.0380602337443566,5.996193976625564,0.9999999999999999,0.9999999999999999,0.999948782248897,0.999948782248897,0.9970375403020815,0.9970375403020812,0.0028363522234448545,0.0028363522234449,13945.934445962124,13945.934445962535
0,3,0.0842651938487273,5.991573480615127,0.9999999999999999,0.9999999999999997,0.999948095373818,0.999948095373818,0.997045478519609,0.9970454785196092,0.002829505849653178,0.0028295058496531,13931.346383605802,13931.346383605887
0,4,0.1464466094067262,5.9853553390593275,0.9999999999999999,0.9999999999999998,0.9999470686175473,0.9999470686175472,0.997058320174682,0.997058320174682,0.0028203096997044532,0.0028203096997045,13911.878856691925,13911.878856693462
0,5,0.2222148834901988,5.97777851165098,0.9999999999999999,0.9999999999999998,0.9999458017298422,0.999945801729842,0.9970733965005956,0.997073396500595,0.0028091314203419855,0.0028091314203423,13888.407028212532,13888.407028212532
0,6,0.3086582838174551,5.969134171618254,0.9999999999999999,0.9999999999999998,0.9999443362637812,0.9999443362637812,0.9970899293573305,0.9970899293573308,0.0027964149300581847,0.002796414930058,13861.960782339018,13861.96078233892
0,7,0.4024548389919358,5.959754516100807,0.9999999999999999,0.9999999999999998,0.9999427241201632,0.999942724120163,0.9971071974815495,0.9971071974815496,0.0027826611963215992,0.0027826611963216,13833.663136110667,13833.663136110124
0,8,0.4999999999999999,5.95,0.9999999999999999,0.9999999999999998,0.9999410261448205,0.9999410261448204,0.9971245382008769,0.997124538200877,0.0027684071067654433,0.0027684071067653,13804.670771938745,13804.670771937002
0,9,0.5975451610080641,5.940245483899194,0.9999999999999999,0.9999999999999998,0.9999393097581313,0.9999393097581312,0.9971413502621578,0.997141350262158,0.0027542035366498975,0.0027542035366499,13776.119331891532,13776.119331887568
0,10,0.6913417161825448,5.930865828381746,0.9999999999999999,0.9999999999999997,0.9999376454993919,0.999937645499392,0.9971570922233882,0.997157092223388,0.0027405936646902156,0.0027405936646903,13749.077081795724,13749.0770818023
0,11,0.777785116509801,5.92222148834902,0.9999999999999999,0.9999999999999998,0.9999361029043362,0.9999361029043362,0.9971712817939102,0.9971712817939103,0.0027280924637948455,0.0027280924637948,13724.508994053118,13724.508994055706
0,12,0.8535533905932737,5.914644660940673,0.9999999999999999,0.9999999999999998,0.999934746357114,0.999934746357114,0.9971834977471186,0.9971834977471185,0.0027171681125275956,0.0027171681125277,13703.251599646686,13703.251599646692
0,13,0.9157348061512728,5.908426519384873,0.9999999999999999,0.9999999999999997,0.9999336315725302,0.9999336315725302,0.9971933841153146,0.9971933841153146,0.0027082258657446733,0.0027082258657448,13685.997493053517,13685.997493053508
0,14,0.9619397662556434,5.903806023374436,0.9999999999999999,0.9999999999999998,0.999932803144181,0.999932803144181,0.9972006556828863,0.9972006556828862,0.00270159471972503,0.0027015947197252,13673.287396140786,13673.28739614079
0,15,0.9903926402016152,5.900960735979838,0.9999999999999999,0.9999999999999998,0.9999322932320568,0.9999322932320568,0.9972051036731708,0.9972051036731708,0.00269751703543599,0.002697517035436,13665.507295002044,13665.507295002031
0,16,1.0,5.9,0.9999999999999999,1.0,0.9999321211237713,0.9999321211237712,0.9972066006266088,0.9972066006266086,0.002696141161778195,0.0026961411617783,13662.888290632232,13662.888290632229
1,0,0.0,5.9,0.9999999999999999,1.0,0.9999321211237713,0.9999321211237712,0.9972066006266087,0.9972066006266086,0.002696141161778218,0.0026961411617783,14270.040864942455,14270.0408649451
1,1,0.0096073597983847,5.899039264020162,0.9999999999999999,0.9999999999999998,0.9999335769190605,0.9999335769190604,0.9972100346431961,0.9972100346431962,0.0026948205360202626,0.0026948205360202,14267.148035868177,14267.148035870296
1,2,0.0380602337443566,5.896193976625565,0.9999999999999999,1.0,0.9999334828660296,0.9999334828660296,0.9972148854631206,0.997214885463121,0.0026909119999731944,0.002690911999973,14258.548741273065,14258.548741273533
1,3,0.0842651938487273,5.891573480615127,0.9999999999999999,0.9999999999999999,0.9999318778614272,0.9999318778614272,0.9972212565738313,0.9972212565738312,0.002684573135357935,0.0026845731353579,14244.657575801,14244.657575800997
1,4,0.1464466094067262,5.885355339059328,0.9999999999999999,0.9999999999999999,0.9999295308721656,0.9999295308721656,0.9972296340871603,0.99722963408716,0.002676058627820635,0.0026760586278207,14226.145409482226,14226.14540948224
1,5,0.2222148834901988,5.87777851165098,0.9999999999999999,0.9999999999999996,0.9999264655530892,0.9999264655530892,0.997239625334575,0.9972396253345752,0.002665708844196776,0.0026657088441967,14203.87794727265,14203.877947272656
1,6,0.3086582838174551,5.869134171618255,0.9999999999999999,0.9999999999999997,0.9999227194197595,0.9999227194197596,0.9972507829409482,0.9972507829409484,0.0026539347965543938,0.0026539347965543,14178.871209851435,14178.87120985144
1,7,0.4024548389919358,5.859754516100806,0.9999999999999999,0.9999999999999999,0.9999183743970336,0.9999183743970336,0.9972626361679141,0.997262636167914,0.0026412003543941523,0.0026412003543942,14152.228529340278,14152.228529340282
1,8,0.4999999999999999,5.8500000000000005,0.9999999999999999,0.9999999999999998,0.9999135625632464,0.9999135625632464,0.9972747117211123,0.9972747117211118,0.0026280026806647042,0.0026280026806649,14125.075381082086,14125.07538108209
1,9,0.5975451610080641,5.840245483899194,0.9999999999999999,1.0,0.9999084777283146,0.9999084777283146,0.9972865611092359,0.997286561109236,0.002614851907734743,0.0026148519077346,14098.498223246184,14098.498223246195
1,10,0.6913417161825448,5.830865828381746,0.9999999999999999,0.9999999999999996,0.9999033629167022,0.9999033629167022,0.9972977698820731,0.9972977698820732,0.0026022510303008958,0.0026022510303008,14073.493532340603,14073.493532340604
1,11,0.777785116509801,5.82222148834902,0.9999999999999999,0.9999999999999998,0.9998984851685195,0.9998984851685196,0.9973079617569733,0.9973079617569732,0.0025906768832470203,0.0025906768832471,14050.931970191526,14050.931970191536
1,12,0.8535533905932737,5.814644660940672,0.9999999999999999,1.0,0.9998941058495828,0.9998941058495828,0.9973168016421284,0.9973168016421284,0.002580562908579045,0.0025805629085791,14031.539169157055,14031.539169157048
1,13,0.9157348061512728,5.808426519384873,0.9999999999999999,0.9999999999999998,0.9998904554199268,0.9998904554199268,0.9973240001931722,0.997324000193172,0.002572284220603429,0.0025722842206035,14015.891045589065,14015.891045586332
