interval_index,node_index,fraction,z_eval,group,global_kappa_cMpc_inv,global_current_s_inv_cMpc3,incident_flux_s_inv_cMpc2,q_sum_residual,kappa_moment_relative_residual,current_moment_relative_residual,common_flux_relative_residual,negative_measure_count,zero_support_nonzero_allocation_count,differential_vs_finite_TV,tau_min,tau_max,tau_weighted_mean,proper_cell_length_cm
0,0,0.0,6.0,G1,0.0348379578941765,4.252832574807789e+50,1.2207468037380833e+52,0.0,0.0,1.953445104532759e-16,2.177729225609519e-16,0,0,0.0003095463509275123,5.012068446672165e-09,0.10967182493684806,2.438858331033493e-05,1.2965031855005743e+21
0,0,0.0,6.0,G2a,0.0168216818141389,7.300331468392976e+49,4.3398344761561996e+51,0.0,0.0,1.4224824943949593e-16,1.531427066041256e-16,0,0,6.619011563027223e-05,2.0400716643734254e-09,0.02358001870435192,5.828613716517675e-06,1.2965031855005743e+21
0,0,0.0,6.0,G2b,0.0006096451812474,9.746685330622972e+47,1.5987472107431734e+51,0.0,0.0,0.0,2.0785462311565626e-16,0,0,1.9556908770962213e-05,7.589055867725142e-10,0.006976945999458202,1.8189664937045954e-06,1.2965031855005743e+21
0,0,0.0,6.0,G3,1.919599367494748,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.009120202154916813,3.3127214884304045e-05,1.4822043764259174,0.0057274083978872715,1.2965031855005743e+21
0,1,0.0096073597983847,5.999039264020162,G1,0.034929307742544,4.247964162724887e+50,1.2161604215106887e+52,0.0,0.0,0.0,2.1859418745658191e-16,0,0,0.00021602110245241832,3.491541509629615e-09,0.07647556621923127,1.6996767654309603e-05,1.2966811523916431e+21
0,1,0.0096073597983847,5.999039264020162,G2a,0.017704264340754,7.727811587461376e+49,4.3649436309378213e+51,0.0,0.0,0.0,1.522617596208599e-16,0,0,5.432919164243885e-05,5.075965301663639e-09,0.019086542669980822,6.798332470579274e-06,1.2966811523916431e+21
0,1,0.0096073597983847,5.999039264020162,G2b,0.0008444193114257,1.3680677806140177e+48,1.620128486052978e+51,0.0,2.168404344971009e-19,1.186047059425579e-16,2.0511150924567012e-16,0,0,1.7737250122896942e-05,2.1997325858274317e-09,0.00607396393864283,2.5187582753915125e-06,1.2966811523916431e+21
0,1,0.0096073597983847,5.999039264020162,G3,1.9195790097058272,0.0,0.0,0.0,1.1567359499261213e-16,0.0,0.0,0,0,0.009119352528571585,3.311027755252224e-05,1.4814839433714353,0.005725775631312021,1.2966811523916431e+21
0,2,0.0380602337443566,5.996193976625564,G1,0.0352024949366526,4.233836938853079e+50,1.202709338207968e+52,0.0,0.0,0.0,2.2103894158923887e-16,0,0,0.00019128889350764785,3.084778286679808e-09,0.06768201147104892,1.5033378467214433e-05,1.2972085006255598e+21
0,2,0.0380602337443566,5.996193976625564,G2a,0.0182346490702937,8.085955641019635e+49,4.43439059882571e+51,0.0,0.0,0.0,1.4987718900280396e-16,0,0,5.375846765450095e-05,6.6073203144842696e-09,0.018428180470303507,7.602819100927993e-06,1.2972085006255598e+21
0,2,0.0380602337443566,5.996193976625564,G2b,0.0009913743210675,1.6684114065237408e+48,1.6829278014052405e+51,0.0,0.0,1.9450751318859972e-16,1.9745766792179287e-16,0,0,1.845249238395183e-05,2.9140141049316587e-09,0.006077983721006786,2.954696132482254e-06,1.2972085006255598e+21
0,2,0.0380602337443566,5.996193976625564,G3,1.9195858796528151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.009118469631122844,3.306062873382704e-05,1.4808219727983727,0.005721141706072413,1.2972085006255598e+21
0,3,0.0842651938487273,5.991573480615127,G1,0.0356495488722516,4.2112068691209255e+50,1.1812791472373402e+52,0.0,6.938893903907228e-18,0.0,1.1252446120746175e-16,0,0,0.00019386905543225581,3.116726336089582e-09,0.06855324573935072,1.521487265027636e-05,1.2980657821400092e+21
0,3,0.0842651938487273,5.991573480615127,G2a,0.0184218090184116,8.3664685804539e+49,4.5416107463127365e+51,0.0,0.0,1.2412158866323343e-16,1.4633882889061943e-16,0,0,5.411971876976079e-05,6.546773152538329e-09,0.018570081610659723,7.596104550651727e-06,1.2980657821400092e+21
0,3,0.0842651938487273,5.991573480615127,G2b,0.0009895384458707,1.7657198409736827e+48,1.7843873053563033e+51,0.0,0.0,0.0,1.8623030882853906e-16,0,0,1.8526272414076575e-05,2.885222283431972e-09,0.006112642120725152,2.945330256471641e-06,1.2980657821400092e+21
