interval_index,node_index,fraction,z_eval,group,macro_index,q_macro,kappa_macro_cMpc_inv,current_macro_s_inv_cMpc3,tau_weighted_macro
0,0,0.0,6.0,G1,0,0.026687466585380935,0.0009297368372037432,1.1349732723340243e+49,6.508695021593425e-07
0,0,0.0,6.0,G1,1,0.05112130541554549,0.0017809618855621112,2.1741035293792972e+49,1.2467762160601078e-06
0,0,0.0,6.0,G1,2,0.02879071657225156,0.0010030097716872692,1.2244209729052986e+49,7.021647896865975e-07
0,0,0.0,6.0,G1,3,0.01432853644936373,0.0004991769495081068,6.09368665611748e+48,3.4945270491047795e-07
0,0,0.0,6.0,G1,4,0.0014376278546277173,5.0084018667015704e-05,6.113990570611792e+47,3.5061706701846145e-08
0,0,0.0,6.0,G1,5,3.731505228114101e-05,1.2999802201893852e-06,1.5869466987189219e+46,9.10061261288111e-10
0,0,0.0,6.0,G1,6,0.13888402755994136,0.004838435904306886,5.906505165274214e+49,3.3871846766204824e-06
0,0,0.0,6.0,G1,7,0.2660399692686472,0.00926828924754914,1.131423447506566e+50,6.488337954387346e-06
0,0,0.0,6.0,G1,8,0.14982953369134758,0.005219754986043266,6.37199921550824e+49,3.654130064780065e-06
0,0,0.0,6.0,G1,9,0.07456701986906315,0.0025977626984926444,3.171210511054914e+49,1.8185839762800464e-06
0,0,0.0,6.0,G1,10,0.007481547412688109,0.0002606418337465135,3.181776854664892e+48,1.824643423645647e-07
0,0,0.0,6.0,G1,11,0.0001941909597463725,6.765216479073848e-06,8.25861639342561e+46,4.7360423998883005e-09
0,0,0.0,6.0,G1,12,0.052458076843208,0.0018275322722731556,2.2309541801056514e+49,1.2793781773905297e-06
0,0,0.0,6.0,G1,13,0.10048632226795191,0.0035007382641115588,4.2735150466377913e+49,2.4507190421811087e-06
0,0,0.0,6.0,G1,14,0.05659231900061737,0.001971560826477313,2.4067765772973935e+49,1.380206486671607e-06
0,0,0.0,6.0,G1,15,0.028164811512051528,0.0009812045175542688,1.1978022786177416e+49,6.868998519815491e-07
0,0,0.0,6.0,G1,16,0.0028258655511088993,9.84473850841357e-05,1.201793306778309e+48,6.89188574170249e-08
0,0,0.0,6.0,G1,17,7.33481341778878e-05,2.5552992101056633e-06,3.119373343330937e+46,1.7888570810550411e-09
0,0,0.0,6.0,G2a,0,0.02734748244589516,0.0004600306481225975,1.99645686681093e+48,1.593979112963708e-07
0,0,0.0,6.0,G2a,1,0.05238560198249409,0.0008812139281916394,3.8243225864351106e+48,3.053354382632003e-07
0,0,0.0,6.0,G2a,2,0.029502748548477634,0.000496285848725039,2.1537984363253646e+48,1.7196012486462856e-07
0,0,0.0,6.0,G2a,3,0.014682899846289416,0.00024699106932314955,1.0719003579512902e+48,8.558095144233772e-08
0,0,0.0,6.0,G2a,4,0.001473182266753562,2.4781403345560316e-05,1.0754718860659523e+47,8.586610366930409e-09
0,0,0.0,6.0,G2a,5,3.823790219882342e-05,6.432258240287698e-07,2.791493607074036e+45,2.2287396124692342e-10
0,0,0.0,6.0,G2a,6,0.1394340974570195,0.002345516021463616,1.0179151294324526e+49,8.127074929882456e-07
0,0,0.0,6.0,G2a,7,0.2670936583147192,0.004492964534744541,1.949872238803146e+49,1.5567857604480566e-06
0,0,0.0,6.0,G2a,8,0.1504229548184912,0.0025303670834992504,1.098137430630086e+49,8.767572977341756e-07
0,0,0.0,6.0,G2a,9,0.07486235313139308,0.0012593106842339994,5.465199923630564e+48,4.363437383124273e-07
0,0,0.0,6.0,G2a,10,0.007511179142755171,0.00012635066558842407,5.483409746059256e+47,4.3779761778684236e-08
0,0,0.0,6.0,G2a,11,0.00019496008059574507,3.279556442240499e-06,1.4232732114535485e+46,1.1363469999337505e-09
0,0,0.0,6.0,G2a,12,0.05124799108561563,0.000862077399656053,3.7412732201424255e+48,2.987047437855946e-07
0,0,0.0,6.0,G2a,13,0.09816833665493128,0.0016513565234325227,7.166613972817905e+48,5.721853135546571e-07
0,0,0.0,6.0,G2a,14,0.05528686589724769,0.0009300180666244676,4.0361244689849985e+48,3.2224578491197096e-07
0,0,0.0,6.0,G2a,15,0.027515114852795904,0.00046285050713321997,2.0086945881631288e+48,1.603749758425653e-07
0,0,0.0,6.0,G2a,16,0.002760679408915992,4.643927060762987e-05,2.0153874763053935e+47,1.6090933869715653e-08
0,0,0.0,6.0,G2a,17,7.165616341105478e-05,1.2053771809227053e-06,5.231137446540326e+45,4.176560969294114e-10
0,0,0.0,6.0,G2b,0,0.02765445975957053,1.685940813242231e-05,2.695393172649094e+46,5.030253570416085e-08
0,0,0.0,6.0,G2b,1,0.052973633857225824,3.2295120614221845e-05,5.163173400260153e+46,9.63572650360691e-08
0,0,0.0,6.0,G2b,2,0.0298339188678432,1.8188104875506496e-05,2.9078181938420323e+46,5.426689879650813e-08
0,0,0.0,6.0,G2b,3,0.014847716375953371,9.051838741128082e-06,1.447160193947552e+46,2.7007498595888206e-08
0,0,0.0,6.0,G2b,4,0.0014897188359129683,9.081999097278272e-07,1.4519820724745658e+45,2.709748647566304e-09
0,0,0.0,6.0,G2b,5,3.866712520027518e-05,2.3573226551037666e-08,3.7687630196688387e+43,7.033420514718115e-11
0,0,0.0,6.0,G2b,6,0.1396899382472805,8.516129772120143e-05,1.3615138719503975e+47,2.5409131717946726e-07
0,0,0.0,6.0,G2b,7,0.26758373537523156,0.0001631311348516894,2.608054468295069e+47,4.867258489078635e-07
0,0,0.0,6.0,G2b,8,0.1506989585244428,9.187289388342834e-05,1.4688153283903462e+47,2.7411635619214e-07
0,0,0.0,6.0,G2b,9,0.07499971439334578,4.5723214474834535e-05,7.30998616078536e+46,1.3642196751891027e-07
0,0,0.0,6.0,G2b,10,0.007524961037160638,4.5875562353794204e-06,7.334342735440301e+45,1.3687651993027785e-08
0,0,0.0,6.0,G2b,11,0.00019531780329054243,1.1907455758790676e-07,1.9037011681414326e+44,3.5527653980948193e-10
0,0,0.0,6.0,G2b,12,0.05068517298167932,3.089997146897172e-05,4.940124319806216e+46,9.219463138129613e-08
0,0,0.0,6.0,G2b,13,0.09709022771968724,5.919058947552007e-05,9.463078982623194e+46,1.766038710882602e-07
0,0,0.0,6.0,G2b,14,0.05467969187193056,3.3335210661815085e-05,5.329457506511297e+46,9.94605274011332e-08
0,0,0.0,6.0,G2b,15,0.02721293706117927,1.6590235946936724e-05,2.6523593445736217e+46,4.9499420709577096e-08
0,0,0.0,6.0,G2b,16,0.00273036094535112,1.6645513933994062e-06,2.661196897335964e+45,4.966435075313293e-09
0,0,0.0,6.0,G2b,17,7.086921771458368e-05,4.3205077078468825e-08,6.907399646914585e+43,1.289087324578839e-10
0,0,0.0,6.0,G3,0,0.03634399526325628,0.06976591031957888,0.0,0.00020815690368354914
0,0,0.0,6.0,G3,1,0.06961891552837866,0.13364042621394598,0.0,0.00039873596144904033
0,0,0.0,6.0,G3,2,0.03920828016327535,0.07526418980198023,0.0,0.00022456183307386005
0,0,0.0,6.0,G3,3,0.019513139592288398,0.03745741041919354,0.0,0.00011175971957001911
0,0,0.0,6.0,G3,4,0.0019578156574643355,0.003758221697739852,0.0,1.1213209838076418e-05
0,0,0.0,6.0,G3,5,5.0817040988703186e-05,9.75483597398693e-05,0.0,2.910499473144801e-07
0,0,0.0,6.0,G3,6,0.1453552189723113,0.27902378640130937,0.0,0.0008325087018187585
0,0,0.0,6.0,G3,7,0.2784358912096018,0.5344853606537883,0.0,0.0015947160615870988
0,0,0.0,6.0,G3,8,0.15681072230444693,0.3010137633520109,0.0,0.0008981190478052578
0,0,0.0,6.0,G3,9,0.07804141118029179,0.14980824354008568,0.0,0.00044697503377697656
0,0,0.0,6.0,G3,10,0.007830144196773525,0.015030739847519127,0.0,4.484643362926894e-05
0,0,0.0,6.0,G3,11,0.00020323913391836817,0.0003901377129198799,0.0,1.1640335223833966e-06
0,0,0.0,6.0,G3,12,0.036330356752962735,0.0697397298438458,0.0,0.00020807879036515917
0,0,0.0,6.0,G3,13,0.06959279021416412,0.13359027607730412,0.0,0.0003985863311050105
0,0,0.0,6.0,G3,14,0.039193566796494245,0.07523594603241351,0.0,0.00022447756361339673
0,0,0.0,6.0,G3,15,0.01950581705789825,0.03744335408680975,0.0,0.00011171778042505919
0,0,0.0,6.0,G3,16,0.0019570809641868605,0.0037568113809891097,0.0,1.1209001949629137e-05
0,0,0.0,6.0,G3,17,5.079797129832948e-05,9.751175357428963e-05,0.0,2.9094072740968874e-07
0,1,0.0096073597983847,5.999039264020162,G1,0,0.026683356681533373,0.0009320311771333467,1.1334994292435944e+49,4.5353081375309244e-07
0,1,0.0096073597983847,5.999039264020162,G1,1,0.05111343266939526,0.0017853568194871093,2.171280302134425e+49,8.68763139095909e-07
0,1,0.0096073597983847,5.999039264020162,G1,2,0.028786282765226986,0.0010054849294705037,1.2228309756474932e+49,4.892737597918199e-07
0,1,0.0096073597983847,5.999039264020162,G1,3,0.014326329836499417,0.0005004087836802783,6.085773572882583e+48,2.4350129956998385e-07
0,1,0.0096073597983847,5.999039264020162,G1,4,0.0014374064581069127,5.0207612526336525e-05,6.106051121307476e+47,2.4431263593247298e-08
