interval_index,node_index,fraction,z_eval,group,node_count,q_sha256,tau_sha256,q_min,q_max,q_sum
0,5,0.2222148834901988,5.97777851165098,G1,46080,817fbb67fb1a66f0bbecc94d5210ecb2e993d74c229a68bdc8116cc83c397dd3,e86927f9eefe4906f648694619836c5e6b07aa2ed7740234102ed2aa8d91eaf0,2.43666945680921e-216,0.004271367182170294,1.0
0,5,0.2222148834901988,5.97777851165098,G2a,46080,a0cc26e6277b6f907a4061353bf68ccbf70d5d7bb757ece69ba822643d93ecc7,1481a559bd211e81359848e393888cd089617425bb7585b28a56016cbfc18c0c,9.914000207211596e-216,0.004799096174893843,1.0
0,5,0.2222148834901988,5.97777851165098,G2b,46080,bca2d3415f3c3d0a5f45ba62ad377eb89059418f19c8f6ec87d2fbb713debd9b,b9cf4474dd3e49b728c37b541746d9e9a2d1bbc2a77927a58e6eb8a6003f384b,1.1352831438575577e-215,0.004900644840022244,1.0
0,5,0.2222148834901988,5.97777851165098,G3,46080,97a82881bfcdb6eefe16006cfcbc6bfeb8e5dbea6c874b3b9578737e498b5247,1ec065f3d2abb2375c150d800bdc5d6573536f0a786d540358b1a19620bea049,6.878348984595509e-215,0.006013053802334782,1.0
0,6,0.3086582838174551,5.969134171618254,G1,46080,f07c3a24d28d15bc22865539da7f4a76dd4598b7b6a1520178795d999b741141,c9afafb8a582ab01bc3d311fcb3586ef4cf411d6686300c6571789341921faff,2.4317131944337903e-216,0.00426678819062782,1.0
0,6,0.3086582838174551,5.969134171618254,G2a,46080,cc552fc8a14c2987ceaacb1c3e0138b94f8069f3ef114a250bc7842969ef6a61,125f384ef0c531369568edd816bf8308a82d930b1b34cad46f93e1a1f941f251,9.700500216825501e-216,0.004781076809244981,1.0
0,6,0.3086582838174551,5.969134171618254,G2b,46080,254762cc36b1d822107afabf094b772af9efb5aa01d9da885aa6ddc9f5ac3382,b066febf781587f3b7ad9d1221ea55657c153b2fe51f96894603f59b6840d109,1.115516448900543e-215,0.004883998696595175,1.0
0,6,0.3086582838174551,5.969134171618254,G3,46080,2fb23fbe95a7416d4cffc6b4247857824ea54d9038fe2e6f55a969942dcb1879,db80cf7e802c3caa477ac64313a2d91d917ba727f265f49d5fb6fb6e60d5929f,6.870788483050408e-215,0.0060098310375997785,1.0
0,7,0.4024548389919358,5.959754516100807,G1,46080,a72af1a34716f01f6ec06e6795f7b00c81be98dd309e20f1530369e921d5ece6,d32860245b344552c9e95a2707c69122f35aa62a3aa44661263050d3e8d78599,2.4270150927655894e-216,0.004261809729825172,1.0
0,7,0.4024548389919358,5.959754516100807,G2a,46080,4ed241013d3a5e44428c229dea97613358c757be6a346fb5d5274709c6a8fdf2,7d2b409a67d9d72e35f395afc1a8488fd1f43e411ca22da6d77e651e99a000fb,9.486796404723614e-216,0.00476254412802077,1.0
0,7,0.4024548389919358,5.959754516100807,G2b,46080,4e6e2d3c5ff2ae5bf6d74a104953994aaefc95762a21332509e1b150dfa6c6b8,102c4233bdd8b56cc1847c421f9c5f375873b8181b5beeb43b3e45d79fae8584,1.0955207574429496e-215,0.004866695227166137,1.0
0,7,0.4024548389919358,5.959754516100807,G3,46080,1df30aa3bc2756b14fb769beeb82710c2c3d751c07ed53d00b037dd952998cbb,adffbed5ee6ed34ee505a74ab46586bca24faacef351ef5764bfd9c63910249e,6.864039403723617e-215,0.006006325993069121,1.0
0,8,0.4999999999999999,5.95,G1,46080,6f87706ad95fb0381d3a979c6c628781e2ac5f0246d966e4a31382af69db9bcd,d31caa905919f5bd5214732ab38ae04f81cbeb4f7fc86fe84c7fee2621aca1ef,2.4224470982121073e-216,0.004256621442944569,1.0
0,8,0.4999999999999999,5.95,G2a,46080,fe050a0b5c57f48f57393c9c440b752534b0ca04965ed86bd3d86ada2389ebb3,f193d42bef1ddbfca9e45c0003723ff9e4f8678ed3911358d3692bb5f615fa73,9.28124965428197e-216,0.004744297128234838,1.0
0,8,0.4999999999999999,5.95,G2b,46080,536d96b71f7b633dc1cde2474986db369add0e049e62c55fdda8807238df7ee0,22f72d19a2a6bd96c62201c61e3cd980c6e71c774a15833ab15ceffd316df38f,1.076060081121847e-215,0.004849482192733525,1.0
0,8,0.4999999999999999,5.95,G3,46080,68d9714ed237d532ea818d2d8e88596e1adcb7c2b84dc6e38ebcf2513c29c283,bd612cbe0f37272849d2fe2d012359979bdd429d6fe5e21f2c7d766c626f9810,6.85770036906158e-215,0.006002672002614301,1.0
0,9,0.5975451610080641,5.940245483899194,G1,46080,38bf50a6c5d65274b480ced731d837f36e32355056350899f314e196b26860e7,205405b814f9e9921d238cafa3eb37c48d588dfc4a91e198a867f89cfac3e6a3,2.4179977271181275e-216,0.0042514222468565295,1.0
0,9,0.5975451610080641,5.940245483899194,G2a,46080,7786bc613034bc9d0d990c9530bff1031ef94575bdab69bc6db5cc012292542c,042d6b4572886b1a097955b76e578bc650d34f17b854fd9e9d0ab313f29a51b9,9.090589683977702e-216,0.004727005305861605,1.0
0,9,0.5975451610080641,5.940245483899194,G2b,46080,03f1371ee0276aab1124d85c9fd4ae9c020a2f69cc2b42eca03e6b07d87f00b8,8484bf6dc01a29887216df1d22cef0215a91d471ee5f5be3a5d2cdfc5a82a7d4,1.0577931356607503e-215,0.004833014261156382,1.0
0,9,0.5975451610080641,5.940245483899194,G3,46080,ee3a81235cb65fa5bd5f71699971a6b87d79d3197469ccda01b38d0edc94bc6c,a2a8871b31e3eeb35f365df81eabb97adda16e939ffc2cb9970ebd6fff950976,6.851613981057179e-215,0.00599900908590133,1.0
0,10,0.6913417161825448,5.930865828381746,G1,46080,807e3513cbbd4eac191279689aeb16a9f64eab2e2004778a7b8e2b8593ea7b39,7d2e58aa4d86bb7724e10fece40e734df0d648bef9249a57e60ee7e17cf48649,2.4137530709853344e-216,0.004246412718211423,1.0
0,10,0.6913417161825448,5.930865828381746,G2a,46080,f2f1f3a2b8a5ce6bc62e29d099360fcefcb93a2f8a4b2cc6270d4bf43f38a577,459ad1ead4009944faa12baa64b566dcf2041f401ca2d52dc823a4d9246512e0,8.919870501276197e-216,0.004711203488665018,1.0
0,10,0.6913417161825448,5.930865828381746,G2b,46080,7b062cca69d1774c88ee958f50de51fd563dc807552350360719cbd5b503cc29,df4c6de1349b81815443d4142cd707ebb6636bb0aedd9c0ed9a0c6c5047abc02,1.0412532158807626e-215,0.004817837801565756,1.0
