interval_index,node_index,fraction,z_snapshot,H_nuclei_relative_residual,He_nuclei_relative_residual,xHII_relative_residual,xHeI_relative_residual,xHeII_relative_residual,xHeIII_relative_residual,U_relative_residual,minimum_species,minimum_temperature_K,thermal_normalization_factor
4,7,0.4024548389919358,5.559754516100806,4.0642558264542945e-16,4.2871896903526313e-16,1.1102983250823128e-16,3.897449788201107e-12,2.2256596811456753e-16,8.799286090207489e-14,1.4482652548996426e-16,4.283010276582074e-154,2126.3983393441918,0.820533414210774
4,8,0.4999999999999999,5.55,1.3547519421514314e-16,2.1435948451763156e-16,0.0,2.0618384159942596e-12,0.0,6.50560275341966e-15,1.4447352310180492e-16,4.3025653515265524e-154,2132.8142607408076,0.8240020080420563
4,9,0.5975451610080641,5.540245483899193,0.0,0.0,1.1103028141013958e-16,1.9311557505838106e-12,3.33842221254228e-16,1.2244873946430442e-13,0.0,4.323582108000345e-154,2139.349486570468,0.8274906143577171
4,10,0.6913417161825448,5.530865828381746,4.0642558264542945e-16,4.2871896903526313e-16,1.1103049472493605e-16,1.1302530264733449e-12,1.112796699069732e-16,1.0175542238617722e-13,0.0,4.344739488556563e-154,2145.7452474303395,0.8308641651202354
4,11,0.777785116509801,5.52222148834902,2.709503884302863e-16,2.1435948451763156e-16,1.1103068874359647e-16,6.421194786211827e-12,4.451147490775192e-16,5.060233314098669e-14,0.0,4.364726362411352e-154,2151.7355790515567,0.8339898646805888
4,12,0.8535533905932737,5.5146446609406725,0.0,2.1435948451763156e-16,3.3309256860191743e-16,4.039515980724663e-13,1.112778287210893e-16,1.6344594801877987e-14,1.431665080083509e-16,4.382403678898446e-154,2157.061144859619,0.8367427555430723
4,13,0.9157348061512728,5.508426519384873,2.709503884302863e-16,0.0,0.0,1.3051545785377276e-12,0.0,1.463665092294587e-14,0.0,4.396893226547682e-154,2161.483697762096,0.8390112537233808
4,14,0.9619397662556434,5.503806023374436,2.709503884302863e-16,4.2871896903526313e-16,3.3309327183205186e-16,1.8470473520807506e-12,4.4510641770271645e-16,7.197543950758322e-14,1.4275754105673078e-16,4.407592040627124e-154,2164.800002197042,0.8407023305456378
4,15,0.9903926402016152,5.500960735979838,1.3547519421514312e-16,2.1435948451763152e-16,2.2206230202973535e-16,2.7064773015314817e-12,3.3382885109839233e-16,7.520674590026134e-14,1.4264956580614878e-16,4.414134473030891e-154,2166.8548509170073,0.8417460017910439
4,16,1.0,5.5,2.709503884302863e-16,0.0,2.2206234259348487e-16,5.670030247629791e-12,3.338285263831237e-16,1.0071349157973366e-13,0.0,4.416333955347245e-154,2167.5508826759324,0.8420988051905509
