z,growth,sigma_R_z,density_sigma,delta_NL,volume_factor,eta_continuous,effective_GH_weight
4.8,0.21999664333004607,0.4894964381755891,-1.7320508075688772,-0.49484534490775545,1.979591774359465,0.9547969131474774,0.31501801924175915
4.8,0.21999664333004607,0.4894964381755891,0.0,5.402597163798239e-05,0.9999459769470099,0.9547969131474774,0.6364968880688291
4.8,0.21999664333004607,0.4894964381755891,1.7320508075688772,2.289944069114228,0.3039565351240868,0.9547969131474774,0.04836946024458015
4.9,0.2162906327307363,0.4812504987796794,-1.7320508075688772,-0.4900662321615373,1.9610389879431966,0.9562607795330709,0.31254411188421755
4.9,0.2162906327307363,0.4812504987796794,0.0,5.190807074840738e-05,0.9999480946235596,0.9562607795330709,0.6374740963048893
4.9,0.2162906327307363,0.4812504987796794,1.7320508075688772,2.195800386610336,0.3129106574333518,0.9562607795330709,0.0498706982002371
5.0,0.2127067004667778,0.47327618584783,-1.7320508075688772,-0.48537289578086273,1.9431545517163091,0.9576555341798269,0.31014545170297403
5.0,0.2127067004667778,0.47327618584783,0.0,4.985845421511372e-05,0.9999501440315265,0.9576555341798269,0.6384051928904709
5.0,0.2127067004667778,0.47327618584783,1.7320508075688772,2.1086418229001014,0.3216838918634518,0.9576555341798269,0.05134372654992327
5.1,0.2092389569252837,0.46556039488677786,-1.7320508075688772,-0.4807626043404072,1.9259013475516134,0.9589853957608517,0.3078185443296902
5.1,0.2092389569252837,0.46556039488677786,0.0,4.8015427508646966e-05,0.9999519868778619,0.9589853957608517,0.6392929012519443
5.1,0.2092389569252837,0.46556039488677786,1.7320508075688772,2.0277522838917723,0.33027801029833037,0.9589853957608517,0.052788631402841825
5.2,0.20588188190758483,0.458090843356455,-1.7320508075688772,-0.4762335894531842,1.9092480538337557,0.9602542730997812,0.3055606003502175
5.2,0.20588188190758483,0.458090843356455,0.0,4.6398998714056454e-05,0.9999536031540531,0.9602542730997812,0.6401398135534683
5.2,0.20588188190758483,0.458090843356455,1.7320508075688772,1.9525092552946897,0.338694958604013,0.9602542730997812,0.05420554687947616
5.3,0.2026302964284039,0.4508560079226493,-1.7320508075688772,-0.47178463226332407,1.89316718346316,0.9614657910277234,0.3033692472660224
5.3,0.2026302964284039,0.4508560079226493,0.0,4.484088089064589e-05,0.9999551611297238,0.9614657910277234,0.6409484533252298
5.3,0.2026302964284039,0.4508560079226493,1.7320508075688772,1.8823736842647574,0.34693627875494654,0.9614657910277234,0.055594560614889904
5.4,0.19947933702618134,0.44384506729702394,-1.7320508075688772,-0.46741361168521484,1.8776296614793504,0.9626233139265908,0.30124168117668587
5.4,0.19947933702618134,0.44384506729702394,0.0,4.3330239951076986e-05,0.9999566716374771,0.9626233139265908,0.6417210700231147
5.4,0.19947933702618134,0.44384506729702394,1.7320508075688772,1.8168675709604805,0.35500426442093097,0.9626233139265908,0.05695589691249139
5.5,0.19642443233150253,0.4370478501014517,-1.7320508075688772,-0.4631271985265769,1.8626385938262198,0.9637299671653621,0.29918010514484644
5.5,0.19642443233150253,0.4370478501014517,0.0,4.187001703997344e-05,0.999958131735985,0.9637299671653621,0.6424597449764383
5.5,0.19642443233150253,0.4370478501014517,1.7320508075688772,1.7559799554847366,0.36284734147281367,0.9637299671653621,0.058281142747272266
5.6,0.19346128166877166,0.4304547872563592,-1.7320508075688772,-0.458917877373206,1.8481482905871944,0.9647886566195858,0.2971787510849005
5.6,0.19346128166877166,0.4304547872563592,0.0,4.0454634205807326e-05,0.9999595470023054,0.9647886566195858,0.6431664186841891
5.6,0.19346128166877166,0.4304547872563592,1.7320508075688772,1.6989920559627163,0.3705086859336106,0.9647886566195858,0.05957709622796269
5.7,0.19058583549105929,0.4240568684479153,-1.7320508075688772,-0.45478052902161487,1.8341237854281334,0.9658020864488843,0.2952334297953362
5.7,0.19058583549105929,0.4240568684479153,0.0,3.908019012850185e-05,0.9999609213370731,0.9658020864488843,0.6438428961297958
5.7,0.19058583549105929,0.4240568684479153,1.7320508075688772,1.6453876409730432,0.3780164330215793,0.9658020864488843,0.06084817662070103
5.8,0.18779427746986718,0.41784560227744005,-1.7320508075688772,-0.45071263245339943,1.8205406843170515,0.9667727752924895,0.2933415283183473
5.8,0.18779427746986718,0.41784560227744005,0.0,3.774499235196095e-05,0.9999622564322788,0.9667727752924895,0.6444908572258494
5.8,0.18779427746986718,0.41784560227744005,1.7320508075688772,1.594896044780558,0.38537189264727045,0.9667727752924895,0.06209450902905349
5.9,0.18508300808079206,0.4118129797392146,-1.7320508075688772,-0.4467128914715564,1.8073799020180705,0.967703071029009,0.291501180283166
5.9,0.18508300808079206,0.4118129797392146,0.0,3.644743624304516e-05,0.9999635538921241,0.967703071029009,0.6451118680123269
5.9,0.18508300808079206,0.4118129797392146,1.7320508075688772,1.5472607775594265,0.39257857256300116,0.967703071029009,0.06331658171490014
6.0,0.18244862954303503,0.40595144071062267,-1.7320508075688772,-0.44278054160963004,1.7946250529166412,0.9685951642336502,0.2897108579779362
6.0,0.18244862954303503,0.40595144071062267,0.0,3.5185999742835686e-05,0.9999648152382683,0.9685951642336502,0.6457073896290548
6.0,0.18244862954303503,0.40595144071062267,1.7320508075688772,1.502255067381643,0.39963951438667633,0.9685951642336502,0.06451481684526983
