z,group,helium_simplex_residual,xHeI_interpolated_auditor,xHeI_simplex_canonical,target_total_kappa_cMpc_inv,target_EFFECTIVE_HI_SUBGRID_cMpc_inv,target_EXPLICIT_HI_ATOMIC_cMpc_inv,target_EXPLICIT_HEI_ATOMIC_cMpc_inv,target_EXPLICIT_HEII_ATOMIC_cMpc_inv
5.95,G1,0.0,7.112846376037373e-05,6.664249941846145e-05,0.03809727703933974,0.03809727703933974,0.0,0.0,0.0
5.95,G2a,0.0,7.112846376037373e-05,6.664249941846145e-05,0.018824858678065114,0.018032410773546302,0.0,0.0007924479045188112,0.0
5.95,G2b,0.0,7.112846376037373e-05,6.664249941846145e-05,0.0007788141384563817,0.0,0.0004164884024633626,0.0003623257359930191,0.0
5.95,G3,0.0,7.112846376037373e-05,6.664249941846145e-05,1.9197328471239608,0.0,0.00012508313802278467,0.0001489638442951912,1.9194588001416428
5.85,G1,0.0,0.00010170968933674999,0.00010596298387313035,0.0548035208967802,0.0548035208967802,0.0,0.0,0.0
5.85,G2a,0.0,0.00010170968933674999,0.00010596298387313035,0.026958063182850794,0.02573405264265235,0.0,0.0012240105401984448,0.0
5.85,G2b,0.0,0.00010170968933674999,0.00010596298387313035,0.0010533436053518264,0.0,0.0004936973278972725,0.0005596462774545538,0.0
5.85,G3,0.0,0.00010170968933674999,0.00010596298387313035,1.865187293664173,0.0,0.00014827114186519703,0.00023008870928431575,1.8648089338130234
5.75,G1,0.0,0.0001145602424710086,0.00011638801364687599,0.10111099085581246,0.10111099085581246,0.0,0.0,0.0
5.75,G2a,0.0,0.0001145602424710086,0.00011638801364687599,0.05176424412644502,0.050458777910439095,0.0,0.0013054662160059231,0.0
5.75,G2b,0.0,0.0001145602424710086,0.00011638801364687599,0.0014190722169717834,0.0,0.0008221824973685946,0.0005968897196031889,0.0
5.75,G3,0.0,0.0001145602424710086,0.00011638801364687599,1.8114686196552112,0.0,0.0002469244430097196,0.0002454006945123072,1.8109762945176893
5.65,G1,0.0,9.3900487092768e-05,9.46982157260033e-05,0.060231127682831655,0.060231127682831655,0.0,0.0,0.0
5.65,G2a,0.0,9.3900487092768e-05,9.46982157260033e-05,0.02805998756153478,0.02702904392540085,0.0,0.00103094363613393,0.0
5.65,G2b,0.0,9.3900487092768e-05,9.46982157260033e-05,0.0010938685232651647,0.0,0.000622496954737434,0.0004713715685277308,0.0
5.65,G3,0.0,9.3900487092768e-05,9.46982157260033e-05,1.758345921125047,0.0,0.00018695327900525413,0.00019379611759264543,1.757965171728449
5.55,G1,0.0,6.675431061005683e-05,6.124038309091593e-05,0.04366588125560987,0.04366588125560987,0.0,0.0,0.0
5.55,G2a,0.0,6.675431061005683e-05,6.124038309091593e-05,0.02160367929753184,0.020956878816760116,0.0,0.0006468004807717244,0.0
5.55,G2b,0.0,6.675431061005683e-05,6.124038309091593e-05,0.0006385543837818242,0.0,0.00034282206005442823,0.00029573232372739596,0.0
5.55,G3,0.0,6.675431061005683e-05,6.124038309091593e-05,1.705963684382406,0.0,0.00010295907113239624,0.00012158513582825279,1.7057391401754454
