history_provenance,interval_index,z_mid,group,component,absorption_rate_s-1_cMpc-3,minimum_kappa_cMpc_inv,physical_component,unresolved_sink_interpretation
CANONICAL_DIRECT_REEVOLVED,2,5.75,G2a,EXPLICIT_HEI_ATOMIC,4.487024501737613e+48,0.001151887982377509,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G2b,EXPLICIT_HI_ATOMIC,4.655297182059561e+48,0.0006318738656900006,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G2b,EXPLICIT_HEI_ATOMIC,3.4766049602275325e+48,0.0005266701553711244,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G3,EXPLICIT_HI_ATOMIC,0.0,0.00018976942812242174,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G3,EXPLICIT_HEI_ATOMIC,0.0,0.00021653115753593688,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,2,5.75,G3,EXPLICIT_HEII_ATOMIC,0.0,1.810881098727661,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G1,EFFECTIVE_HI_SUBGRID,2.9585444032244034e+50,0.040825750909643965,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2a,EFFECTIVE_HI_SUBGRID,1.0700304406712745e+50,0.018611430833572636,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2a,EXPLICIT_HEI_ATOMIC,4.006701230798816e+48,0.0007246188941736071,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2b,EXPLICIT_HI_ATOMIC,3.9942906168819055e+48,0.00034151218059292764,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2b,EXPLICIT_HEI_ATOMIC,3.415555938782458e+48,0.00033131272434283674,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G3,EXPLICIT_HI_ATOMIC,0.0,0.00010256567762490178,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G3,EXPLICIT_HEI_ATOMIC,0.0,0.00013621339082292805,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,3,5.65,G3,EXPLICIT_HEII_ATOMIC,0.0,1.7578147146784313,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G1,EFFECTIVE_HI_SUBGRID,3.2262570827228445e+50,0.043760983820361816,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2a,EFFECTIVE_HI_SUBGRID,1.322034423965448e+50,0.02100249425073581,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2a,EXPLICIT_HEI_ATOMIC,3.867591091881269e+48,0.0006799827787418917,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2b,EXPLICIT_HI_ATOMIC,3.584699943605521e+48,0.0003194646653152426,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2b,EXPLICIT_HEI_ATOMIC,3.079055396948032e+48,0.0003109040472759373,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G3,EXPLICIT_HI_ATOMIC,0.0,9.594419097550885e-05,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G3,EXPLICIT_HEI_ATOMIC,0.0,0.00012782272272828562,True,NOT_COMPUTED_IN_R1
CANONICAL_DIRECT_REEVOLVED,4,5.55,G3,EXPLICIT_HEII_ATOMIC,0.0,1.7056367477668242,True,NOT_COMPUTED_IN_R1
