interval_index,substep,quantity,shape_a,shape_b,total_variation,l1_distance,same_global_sum_by_construction
1,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.524015303137389e-06,3.048030606274778e-06,True
1,1,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,5.402814402803232e-07,1.0805628805606463e-06,True
1,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.681699213478688e-16,3.363398426957376e-16,True
1,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2.316990864578358e-16,4.633981729156716e-16,True
1,1,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.042355999289051e-16,6.084711998578102e-16,True
1,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.824428101212609e-06,7.648856202425218e-06,True
1,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,5.501833711488291e-06,1.1003667422976582e-05,True
1,1,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.950465087149048e-06,3.900930174298096e-06,True
1,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.9527356783048096e-15,5.905471356609619e-15,True
1,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2.566306542273189e-16,5.132613084546378e-16,True
1,1,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.005177182135218e-15,6.010354364270436e-15,True
1,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.824428103188503e-06,7.648856206377006e-06,True
1,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,5.5018337134983885e-06,1.1003667426996777e-05,True
1,1,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.9504650863818094e-06,3.900930172763619e-06,True
