s,time_s,node_a_baseline_J,node_b_baseline_J,partition_shape_f,node_a_redistributed_J,node_b_redistributed_J,baseline_pointwise_total_J,redistributed_pointwise_total_J
0.024,15325511022023.63,1.0964497134370922e+48,1.0543954401696537e+48,0.023424,1.1063263254634896e+48,1.0445188281432564e+48,2.150845153606746e+48,2.150845153606746e+48
0.025,15964073981274.617,1.0964619937503455e+48,1.0544072313605627e+48,0.024375,1.1067395901533269e+48,1.0441296349575813e+48,2.1508692251109083e+48,2.1508692251109083e+48
0.026000000000000002,16602636940525.602,1.0964742740635988e+48,1.0544190225514718e+48,0.025324000000000003,1.107152011553203e+48,1.0437412850618676e+48,2.1508932966150706e+48,2.1508932966150706e+48
0.027,17241199899776.584,1.096486554376852e+48,1.0544308137423808e+48,0.026271,1.1075635896631177e+48,1.0433537784561151e+48,2.1509173681192328e+48,2.1509173681192328e+48
0.028,17879762859027.57,1.0964988346901055e+48,1.0544426049332896e+48,0.027216,1.1079743244830714e+48,1.0429671151403237e+48,2.150941439623395e+48,2.150941439623395e+48
0.029,18518325818278.555,1.0965111150033587e+48,1.0544543961241985e+48,0.028159,1.1083842160130635e+48,1.0425812951144938e+48,2.1509655111275573e+48,2.1509655111275573e+48
0.03,19156888777529.54,1.096523395316612e+48,1.0544661873151075e+48,0.029099999999999997,1.1087932642530945e+48,1.042196318378625e+48,2.1509895826317195e+48,2.1509895826317195e+48
0.031,19795451736780.523,1.0965356756298655e+48,1.0544779785060163e+48,0.030039,1.1092014692031644e+48,1.0418121849327174e+48,2.1510136541358818e+48,2.1510136541358818e+48
0.032,20434014696031.508,1.0965479559431186e+48,1.0544897696969253e+48,0.030976,1.1096088308632725e+48,1.0414288947767714e+48,2.151037725640044e+48,2.151037725640044e+48
0.033,21072577655282.492,1.096560236256372e+48,1.0545015608878344e+48,0.031911,1.1100153492334198e+48,1.0410464479107866e+48,2.1510617971442062e+48,2.1510617971442062e+48
