macro_index,micro_index,J_substep_1,J_substep_2,minimum_endpoint,shape_lane,interval_index,group
0,1199,1.0961549859190125e+48,1.1084352991723326e+48,1.0961549859190125e+48,LOCAL_NEUTRAL_HAZARD_PRIMARY,0,G1
0,1167,1.0541124515878392e+48,1.0659036424967824e+48,1.0541124515878392e+48,LOCAL_NEUTRAL_HAZARD_PRIMARY,0,G1
