shape_lane,interval_index,substep,macro_index,KL_photon,TV_G1,TV_G2a,KL_bernoulli,KL_thermal
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,1.7267030222362565e+49,0.3672789828503904,0.3692282477421742,0.03288555396909268,2.688286793581342e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,1.547718089718142e+48,0.3655855441590879,0.3610138127694967,0.03288555396909215,2.4460103719522213e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,2,7.151591766395492e+47,0.36536703547250515,0.3587525885359938,0.03288555396909193,1.1325901113630996e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,3,3.4945809705084152e+47,0.36535407373478923,0.3579846621284343,0.03288555396909193,5.535164909431724e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,4,3.7556363405049934e+46,0.3654426378569518,0.3575479102391451,0.03288555396909172,5.9441470603942256e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5,9.546823916038138e+44,0.3654280635667736,0.35716704541432803,0.03288555396909215,1.51122980778438e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,6,1.7634267644602456e+49,0.34330700630993327,0.3463092875371893,0.030896525799013915,3.1593239196526697e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,7,1.218263229761705e+49,0.34248351772781915,0.343249035760701,0.030896525799013114,2.199151065995751e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.329105737450877e+48,0.34218443049625225,0.34175403124029574,0.030896525799012427,9.646804484346258e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,2.4569876309924692e+48,0.34205350377723914,0.34100007144200317,0.030896525799012767,4.45314448986424e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,2.347486031969442e+47,0.34193335032659156,0.34013355812487234,0.030896525799012614,4.259638391365259e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.987694640583663e+45,0.34190352106984934,0.33986833354373125,0.030896525799013398,1.0868263036522186e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,1.3933996803954686e+49,0.29439427374089455,0.3019964666115541,0.02777316900851158,3.411251471897666e+66
