shape_lane,interval_index,substep,z_mid,quantity,value,exact_zero
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,kappa_sink_G2b,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,kappa_sink_G3,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,J_sink_G2b,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,J_sink_G3,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,HeII_G3_sink_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,kappa_sink_G2b,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,kappa_sink_G3,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,J_sink_G2b,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,J_sink_G3,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,HeII_G3_sink_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,kappa_sink_G2b,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,kappa_sink_G3,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,J_sink_G2b,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,J_sink_G3,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,HeII_G3_sink_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,kappa_sink_G2b,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,kappa_sink_G3,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,J_sink_G2b,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,J_sink_G3,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,HeII_G3_sink_absorption,0,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,kappa_sink_G2b,0,True
