interval_index,column,actual,expected,relative_residual
0,z_start,6.0,6.0,0.0
0,z_mid,5.95,5.95,0.0
0,z_end,5.9,5.9,0.0
0,dt_Myr,20.234839127531394,20.234839127531394,0.0
0,emission_rate,6.504132489017137e+50,6.504132489017137e+50,0.0
0,storage_rate,-4.95927127469669e+48,-4.95927127469669e+48,0.0
0,ionized_absorption_rate,5.098771926449397e+50,5.098771926449397e+50,0.0
0,threshold_redshift_loss_rate,8.663715013166046e+48,8.663715013166046e+48,0.0
0,front_absorption_rate,1.368316125215811e+50,1.368316125215811e+50,0.0
0,relative_photon_ledger_residual,-5.0375110568438e-12,-5.0375110568438e-12,0.0
0,absorption_G1_rate,4.025238807587089e+50,4.025238807587089e+50,0.0
0,absorption_G2a_rate,1.048448257276587e+50,1.048448257276587e+50,0.0
0,absorption_G2b_rate,2.5084861585720686e+48,2.508486158572069e+48,1.2936828554922373e-16
0,absorption_G3_rate,0.0,0.0,0.0
0,Gamma12_min,0.17702713255077143,0.1770271325507714,1.5678712757587376e-16
0,Gamma12_max,0.23551442630090524,0.2355144263009052,2.357017024525451e-16
0,raw_Gamma12_domain_min,0.029999999999999995,0.0299999999999999,3.2381504884900404e-15
0,raw_Gamma12_domain_max,30.000000000000004,30.000000000000004,0.0
0,N4_exact,0.0,0.0,0.0
0,Gamma_HeII_exact,0.0,0.0,0.0
1,z_start,5.9,5.9,0.0
1,z_mid,5.85,5.85,0.0
1,z_end,5.8,5.8,0.0
1,dt_Myr,20.97848790965782,20.97848790965782,0.0
1,emission_rate,5.713180960773112e+50,5.713180960773112e+50,0.0
1,storage_rate,-7.981601638566459e+49,-7.981601638566459e+49,0.0
1,ionized_absorption_rate,4.8554569313174815e+50,4.8554569313174815e+50,0.0
1,threshold_redshift_loss_rate,5.1922980862324696e+48,5.1922980862324696e+48,0.0
1,front_absorption_rate,1.603961214124674e+50,1.6039612141246738e+50,1.2948684326805015e-16
1,relative_photon_ledger_residual,-2.9313312662123364e-10,-2.9313312662123364e-10,0.0
1,absorption_G1_rate,3.3871854362323258e+50,3.3871854362323254e+50,1.226338966386295e-16
1,absorption_G2a_rate,1.4217149585071004e+50,1.4217149585071004e+50,0.0
1,absorption_G2b_rate,4.6556536578055686e+48,4.655653657805569e+48,1.3940837420942853e-16
1,absorption_G3_rate,0.0,0.0,0.0
1,Gamma12_min,0.0971466422760472,0.0971466422760472,0.0
1,Gamma12_max,0.16949228280095383,0.1694922828009538,1.6375716437912487e-16
1,raw_Gamma12_domain_min,0.029999999999999995,0.0299999999999999,3.2381504884900404e-15
1,raw_Gamma12_domain_max,30.000000000000004,30.000000000000004,0.0
1,N4_exact,0.0,0.0,0.0
1,Gamma_HeII_exact,0.0,0.0,0.0
2,z_start,5.8,5.8,0.0
2,z_mid,5.75,5.75,0.0
2,z_end,5.7,5.7,0.0
2,dt_Myr,21.760874661948566,21.760874661948566,0.0
2,emission_rate,6.4058801658846735e+50,6.4058801658846735e+50,0.0
2,storage_rate,-3.4088008776482724e+49,-3.4088008776482724e+49,0.0
2,ionized_absorption_rate,5.129170073756191e+50,5.1291700737561905e+50,1.619691851545849e-16
2,threshold_redshift_loss_rate,2.925988419683502e+48,2.9259884196835017e+48,2.2181807110058841e-16
2,front_absorption_rate,1.5883302956712947e+50,1.5883302956712947e+50,0.0
2,relative_photon_ledger_residual,3.930721684703218e-12,3.930721684703218e-12,0.0
2,absorption_G1_rate,3.3027178934803284e+50,3.3027178934803284e+50,0.0
2,absorption_G2a_rate,1.7451331588529886e+50,1.7451331588529884e+50,1.19012049761235e-16
2,absorption_G2b_rate,8.131902142287459e+48,8.131902142287459e+48,0.0
2,absorption_G3_rate,0.0,0.0,0.0
2,Gamma12_min,0.0625222345305537,0.0625222345305537,0.0
2,Gamma12_max,0.09295211980273016,0.0929521198027301,5.9720156300972675e-16
2,raw_Gamma12_domain_min,0.029999999999999995,0.0299999999999999,3.2381504884900404e-15
2,raw_Gamma12_domain_max,30.000000000000004,30.000000000000004,0.0
2,N4_exact,0.0,0.0,0.0
2,Gamma_HeII_exact,0.0,0.0,0.0
3,z_start,5.7,5.7,0.0
3,z_mid,5.65,5.65,0.0
3,z_end,5.6,5.6,0.0
3,dt_Myr,22.584624915615045,22.584624915615045,0.0
3,emission_rate,8.196861840976753e+50,8.196861840976753e+50,0.0
3,storage_rate,2.344695777403277e+50,2.344695777403277e+50,0.0
3,ionized_absorption_rate,4.142739702853081e+50,4.142739702853081e+50,0.0
3,threshold_redshift_loss_rate,4.603259649575317e+48,4.6032596495753166e+48,1.4099511144819555e-16
3,front_absorption_rate,1.6633937647568673e+50,1.6633937647568671e+50,1.248603179486793e-16
3,relative_photon_ledger_residual,-6.493028202410865e-11,-6.493028202410864e-11,1.9905499665536812e-16
3,absorption_G1_rate,2.9585445802653814e+50,2.958544580265381e+50,1.4040138230586552e-16
3,absorption_G2a_rate,1.1100966570309916e+50,1.1100966570309916e+50,0.0
3,absorption_G2b_rate,7.409846555670884e+48,7.409846555670883e+48,1.7518233405795268e-16
3,absorption_G3_rate,0.0,0.0,0.0
3,Gamma12_min,0.05978677765986064,0.0597867776598606,5.80303386091824e-16
3,Gamma12_max,0.15786533218838356,0.1578653321883835,3.516361094721884e-16
3,raw_Gamma12_domain_min,0.029999999999999995,0.0299999999999999,3.2381504884900404e-15
3,raw_Gamma12_domain_max,30.000000000000004,30.000000000000004,0.0
3,N4_exact,0.0,0.0,0.0
3,Gamma_HeII_exact,0.0,0.0,0.0
4,z_start,5.6,5.6,0.0
4,z_mid,5.55,5.55,0.0
4,z_end,5.5,5.5,0.0
4,dt_Myr,23.45258417988467,23.45258417988467,0.0
4,emission_rate,5.1866226009630125e+50,5.1866226009630125e+50,0.0
4,storage_rate,-3.795351251827683e+49,-3.795351251827683e+49,0.0
4,ionized_absorption_rate,4.6536369161663825e+50,4.653636916166383e+50,1.785200505178109e-16
4,threshold_redshift_loss_rate,5.373645287330209e+48,5.373645287330209e+48,0.0
4,front_absorption_rate,8.587843569587723e+49,8.587843569587723e+49,0.0
4,relative_photon_ledger_residual,2.8404481049088195e-11,2.8404481049088195e-11,0.0
4,absorption_G1_rate,3.2262755204750077e+50,3.2262755204750077e+50,0.0
4,absorption_G2a_rate,1.3607238422858397e+50,1.3607238422858395e+50,1.5263337635981867e-16
4,absorption_G2b_rate,6.663755340553535e+48,6.663755340553535e+48,0.0
4,absorption_G3_rate,0.0,0.0,0.0
4,Gamma12_min,0.11424961314440871,0.1142496131444087,1.2146901355607458e-16
4,Gamma12_max,0.15085072224723062,0.1508507222472306,1.8399365413802958e-16
4,raw_Gamma12_domain_min,0.029999999999999995,0.0299999999999999,3.2381504884900404e-15
4,raw_Gamma12_domain_max,30.000000000000004,30.000000000000004,0.0
4,N4_exact,0.0,0.0,0.0
4,Gamma_HeII_exact,0.0,0.0,0.0
