node_count,max_dense_relative_residual,max_nested_relative_delta,passes_dense,passes_nested,globally_selected
9,0.0011192329911146272,0.0012324630398622438,False,False,False
17,0.00011309066867831724,0.00011306505519697679,True,True,True
33,6.177281510476253e-07,5.369497999050968e-07,True,True,False
65,8.077830776863232e-08,,True,False,False
