z,Gamma12,kappa_G1_direct_cMpc_inv,kappa_G2a_direct_cMpc_inv,fit_G1_cMpc_inv,fit_G2a_cMpc_inv,group_operator
5.95,0.029999999999999995,0.2795086069026771,0.16600916951324302,0.2795086069026771,0.16600916951324302,DIRECT_ENERGY_GROUP
5.95,0.05000000000000001,0.1286054191551832,0.05954254796919885,0.12860541915518323,0.05954254796919885,DIRECT_ENERGY_GROUP
5.95,0.07999999999999999,0.08742277075820006,0.04020613925759185,0.08742277075820004,0.04020613925759186,DIRECT_ENERGY_GROUP
5.95,0.15,0.05178856435574738,0.024174634379946047,0.051788564355747385,0.02417463437994605,DIRECT_ENERGY_GROUP
5.95,0.3,0.028336264216609112,0.013679963453580801,0.02833626421660911,0.013679963453580805,DIRECT_ENERGY_GROUP
5.95,0.5,0.019013518489461815,0.009592277182107867,0.01901351848946182,0.009592277182107868,DIRECT_ENERGY_GROUP
5.95,0.8,0.01296681200577278,0.006803248229842752,0.01296681200577278,0.006803248229842753,DIRECT_ENERGY_GROUP
5.95,3.0000000000000004,0.00463749481653151,0.002728396617346017,0.004637494816531511,0.0027283966173460173,DIRECT_ENERGY_GROUP
5.95,4.999999999999999,0.003190298379302598,0.0019640672821787195,0.0031902983793025987,0.0019640672821787204,DIRECT_ENERGY_GROUP
5.95,7.999999999999998,0.002291538254697507,0.0014720848576245836,0.0022915382546975062,0.0014720848576245831,DIRECT_ENERGY_GROUP
5.95,15.0,0.0015042034330081254,0.0010253099965513456,0.0015042034330081256,0.0010253099965513459,DIRECT_ENERGY_GROUP
5.95,30.000000000000004,0.0009757926180889088,0.0007137353006089553,0.0009757926180889091,0.0007137353006089548,DIRECT_ENERGY_GROUP
5.85,0.029999999999999995,0.23914745173024698,0.13096765395018803,0.23914745173024698,0.13096765395018806,DIRECT_ENERGY_GROUP
5.85,0.05000000000000001,0.1220998504629704,0.05651303277695103,0.1220998504629704,0.05651303277695102,DIRECT_ENERGY_GROUP
5.85,0.07999999999999999,0.08272784569386263,0.0382158979486081,0.08272784569386263,0.0382158979486081,DIRECT_ENERGY_GROUP
5.85,0.15,0.049017532527694,0.0229854354042761,0.049017532527694,0.0229854354042761,DIRECT_ENERGY_GROUP
5.85,0.3,0.022130518892621867,0.009267705529907393,0.022130518892621864,0.009267705529907395,DIRECT_ENERGY_GROUP
5.85,0.5,0.018212391469498206,0.009151059909792564,0.0182123914694982,0.009151059909792567,DIRECT_ENERGY_GROUP
5.85,0.8,0.012514255867980459,0.006520195638874066,0.012514255867980457,0.006520195638874068,DIRECT_ENERGY_GROUP
5.85,3.0000000000000004,0.0043173683922318375,0.002480080581389489,0.004317368392231838,0.00248008058138949,DIRECT_ENERGY_GROUP
5.85,4.999999999999999,0.0031866509312325777,0.001953111463003008,0.0031866509312325772,0.0019531114630030081,DIRECT_ENERGY_GROUP
5.85,7.999999999999998,0.002311584144643904,0.0014790182480455417,0.002311584144643904,0.001479018248045542,DIRECT_ENERGY_GROUP
5.85,15.0,0.0015381961610346888,0.0010416500623645162,0.0015381961610346888,0.001041650062364516,DIRECT_ENERGY_GROUP
5.85,30.000000000000004,0.0009342982824280862,0.0006643300351015598,0.000934298282428086,0.0006643300351015597,DIRECT_ENERGY_GROUP
5.75,0.029999999999999995,0.30224162298816293,0.18091560476774904,0.30224162298816293,0.18091560476774904,DIRECT_ENERGY_GROUP
5.75,0.15,0.0469596619435681,0.021984302251851866,0.04695966194356809,0.021984302251851866,DIRECT_ENERGY_GROUP
5.75,0.3,0.024905381364669393,0.01177531395630109,0.024905381364669393,0.011775313956301091,DIRECT_ENERGY_GROUP
5.75,0.5,0.017381094812753618,0.008780906317697196,0.017381094812753618,0.008780906317697198,DIRECT_ENERGY_GROUP
5.75,0.8,0.011955963827973481,0.006302930291743406,0.01195596382797348,0.006302930291743405,DIRECT_ENERGY_GROUP
5.75,3.0000000000000004,0.004149408459029254,0.0024464342799965684,0.004149408459029253,0.002446434279996569,DIRECT_ENERGY_GROUP
5.75,4.999999999999999,0.0030436464409746727,0.0019162998794067041,0.0030436464409746723,0.001916299879406704,DIRECT_ENERGY_GROUP
5.75,7.999999999999998,0.0022133366229887806,0.0014553745427462158,0.0022133366229887814,0.0014553745427462158,DIRECT_ENERGY_GROUP
5.75,15.0,0.0014845272603555039,0.0010313981853297609,0.0014845272603555037,0.001031398185329761,DIRECT_ENERGY_GROUP
5.75,30.000000000000004,0.0009248915870980455,0.0006715101629983833,0.0009248915870980449,0.0006715101629983837,DIRECT_ENERGY_GROUP
5.65,0.029999999999999995,0.159902602218553,0.07055912930414787,0.159902602218553,0.07055912930414787,DIRECT_ENERGY_GROUP
5.65,0.05000000000000001,0.10630989259388612,0.0471480384590499,0.10630989259388612,0.0471480384590499,DIRECT_ENERGY_GROUP
5.65,0.07999999999999999,0.07217498455238743,0.03222932192908609,0.07217498455238741,0.03222932192908609,DIRECT_ENERGY_GROUP
5.65,0.15,0.04261071194606277,0.019381421782285083,0.042610711946062765,0.019381421782285083,DIRECT_ENERGY_GROUP
5.65,0.3,0.02384672195944752,0.011285749756098739,0.02384672195944752,0.011285749756098737,DIRECT_ENERGY_GROUP
5.65,0.5,0.015674116648352873,0.007755702052690999,0.015674116648352877,0.007755702052690998,DIRECT_ENERGY_GROUP
5.65,0.8,0.010749979850800992,0.005579294578748897,0.01074997985080099,0.005579294578748895,DIRECT_ENERGY_GROUP
5.65,3.0000000000000004,0.003943390084593612,0.0023455726265481733,0.003943390084593611,0.0023455726265481725,DIRECT_ENERGY_GROUP
5.65,4.999999999999999,0.002748967869624358,0.0017196069123625957,0.0027489678696243584,0.001719606912362596,DIRECT_ENERGY_GROUP
5.65,7.999999999999998,0.0020011853929021457,0.0013072533838947688,0.0020011853929021452,0.0013072533838947684,DIRECT_ENERGY_GROUP
5.65,15.0,0.0013401271091131894,0.0009242731808351311,0.001340127109113189,0.0009242731808351308,DIRECT_ENERGY_GROUP
