fraction,time_s,z_start,z_mid,z_end,N1,N2,N3,N4_exact,xHII,xHeI,xHeII,xHeIII,u_erg_cm3,T_K,Gamma_HI_s-1,Gamma_HeI_s-1,Gamma_HeII_exact_s-1,redshift_threshold_loss_rate_s-1_cMpc-3,emission_rate_s-1_cMpc-3,front_absorption_rate_s-1_cMpc-3,N_G1_cMpc-3,kappa_G1_cMpc-1,absorption_G1_s-1_cMpc-3,N_G2a_cMpc-3,kappa_G2a_cMpc-1,absorption_G2a_s-1_cMpc-3,N_G2b_cMpc-3,kappa_G2b_cMpc-1,absorption_G2b_s-1_cMpc-3,N_G3_cMpc-3,kappa_G3_cMpc-1,absorption_G3_s-1_cMpc-3,thermal_photoheat_erg_cm-3_s-1,thermal_photoheat_H_erg_cm-3_s-1,thermal_photoheat_HeI_erg_cm-3_s-1,thermal_photoheat_HeII_erg_cm-3_s-1,thermal_threshold_H_erg_cm-3_s-1,thermal_threshold_HeI_erg_cm-3_s-1,thermal_threshold_HeII_erg_cm-3_s-1,thermal_recombination_cooling_erg_cm-3_s-1,thermal_excitation_cooling_erg_cm-3_s-1,thermal_collisional_ionization_cooling_erg_cm-3_s-1,thermal_free_free_cooling_erg_cm-3_s-1,thermal_cooling_total_erg_cm-3_s-1,thermal_expansion_work_erg_cm-3_s-1,thermal_thermal_rhs_erg_cm-3_s-1,interval_index,node_count,node_index,weight
0.0,0.0,6.0,5.95,5.9,1.8078843011227926e+65,6.427146558884293e+64,2.3676899869126687e+64,0.0,0.999917,2.0999999999949014e-05,0.997137,0.002842,3.9371975797665935e-16,13957.923664049096,2.3551602620522837e-13,1.381850272757448e-13,0.0,1.0380543003396717e+49,6.504132489017137e+50,1.368316125215811e+50,1.8078843011227926e+65,0.03483795789417657,4.252832574807789e+50,6.427146558884293e+64,0.016821681814138994,7.300331468392976e+49,2.3676899869126687e+64,0.000609645181247429,9.746685330622973e+47,0.0,1.9195993674947478,0.0,8.061970534183521e-33,7.892750706577928e-33,1.6921982760559374e-34,0.0,2.687795676282994e-32,5.699484443602918e-34,0.0,1.1719915649466801e-33,4.0479569287662635e-35,6.592008357118841e-37,9.998596165792276e-34,2.2129899516492825e-33,1.7744392445840284e-32,-1.1895411863306045e-32,0,17,0,0.00196078431372549
0.009607359798384785,6134904103445.532,6.0,5.95,5.9,1.801092025769327e+65,6.464332359088886e+64,2.399354925008105e+64,0.0,0.9999421401802108,9.178524467400327e-05,0.9970676410727983,0.0028405736825277525,3.9363980222396974e-16,13954.963445638487,2.3481470010925496e-13,1.391356840943602e-13,0.0,1.0341542993078706e+49,6.504132489017137e+50,1.368316125215811e+50,1.801092025769327e+65,0.03492930774254401,4.247964162724887e+50,6.464332359088886e+64,0.017704264340754002,7.727811587461376e+49,2.399354925008105e+64,0.0008444193114257432,1.3680677806140177e+48,0.0,1.9195790097058272,0.0,6.246961604139811e-33,5.500784778487164e-33,7.461768256526476e-34,0.0,1.8680997048974121e-32,2.5082261243980578e-33,0.0,1.172015518870867e-33,2.8169172867246427e-35,4.5839627751227404e-37,9.997774384997278e-34,2.2004205265153534e-33,1.774078895319029e-32,-1.3694247875565833e-32,0,17,1,0.0186843514186028
0.03806023374435663,24303855489580.56,6.0,5.95,5.9,1.7811714310467999e+65,6.56718094539739e+64,2.4923585650742352e+64,0.0,0.999948782248897,0.00012610747447416322,0.9970375403020811,0.002836352223444919,3.933857690456281e-16,13945.934445962535,2.3274234162751066e-13,1.4181065264174543e-13,0.0,1.0227162559528834e+49,6.504132489017137e+50,1.368316125215811e+50,1.7811714310467999e+65,0.03520249493665266,4.2338369388530785e+50,6.56718094539739e+64,0.01823464907029372,8.085955641019636e+49,2.4923585650742352e+64,0.0009913743210675093,1.6684114065237408e+48,0.0,1.9195858796528151,0.0,5.915795465180926e-33,4.864704269529912e-33,1.0510911956510142e-33,0.0,1.639055269495271e-32,3.5124081264594306e-33,0.0,1.1719802359708413e-33,2.4801196243286446e-35,4.02687856597993e-37,9.994235694974385e-34,2.1966076895681644e-33,1.7729340037255957e-32,-1.4010152261643196e-32,0,17,2,0.037741165771575914
0.08426519384872738,53808631545901.234,6.0,5.95,5.9,1.7494340505292135e+65,6.725970319911652e+64,2.642616623363542e+64,0.0,0.9999480953738179,0.00012501563073773355,0.9970454785196092,0.0028295058496531134,3.9297406233575607e-16,13931.346383605887,2.2942947411718514e-13,1.4599667761744044e-13,0.0,1.0044932290106524e+49,6.504132489017137e+50,1.368316125215811e+50,1.7494340505292135e+65,0.03564954887225169,4.2112068691209255e+50,6.725970319911652e+64,0.018421809018411645,8.366468580453901e+49,2.642616623363542e+64,0.000989538445870792,1.765719840973683e+48,0.0,1.919599950922626,0.0,6.004480322275138e-33,4.9217111380199346e-33,1.0827691842552035e-33,0.0,1.6373931562827893e-32,3.5847805825065194e-33,0.0,1.1719112361313027e-33,2.4914964359121464e-35,4.030698012473705e-37,9.988387273774565e-34,2.196067997669128e-33,1.7710784998336662e-32,-1.3902372673730653e-32,0,17,3,0.05445277629094547
0.1464466094067262,93515380275032.19,6.0,5.95,5.9,1.7078995509694294e+65,6.927254341458948e+64,2.843823638303223e+64,0.0,0.9999470686175472,0.00012137012561341302,0.9970583201746821,0.0028203096997045656,3.9242465780005865e-16,13911.878856693462,2.2508090952550732e-13,1.5139328889598422e-13,0.0,9.806448744153317e+48,6.504132489017137e+50,1.368316125215811e+50,1.7078995509694294e+65,0.03625638383640278,4.18120799941582e+50,6.927254341458948e+64,0.01865027273772233,8.723711265896492e+49,2.843823638303223e+64,0.0009758476107837199,1.8738707201984326e+48,0.0,1.9196183621187815,0.0,6.11046666191549e-33,5.007282333149548e-33,1.1031843287659416e-33,0.0,1.6381346323977232e-32,3.6088905786961904e-33,0.0,1.1718190096902765e-33,2.5112309640128116e-35,4.042954494468791e-37,9.980579499101604e-34,2.195393564690012e-33,1.7686024113226303e-32,-1.3770951016000826e-32,0,17,4,0.06947823418411654
0.22221488349019886,141898193591114.2,6.0,5.95,5.9,1.6590785126502585e+65,7.153852944926979e+64,3.0874609632882974e+64,0.0,0.9999458017298419,0.00011747207906253862,0.997073396500595,0.002809131420342333,3.9176223282122857e-16,13888.407028212532,2.1994957764160835e-13,1.5761268880014083e-13,0.0,9.526127217256995e+48,6.504132489017137e+50,1.368316125215811e+50,1.6590785126502585e+65,0.037003123351297844,4.145341214997397e+50,7.153852944926979e+64,0.01893858898083123,9.148346165776921e+49,3.0874609632882974e+64,0.0009622172164551286,2.0059936816911114e+48,0.0,1.9196409408797421,0.0,6.238889951330612e-33,5.111702223645841e-33,1.1271877276847708e-33,0.0,1.639103023461849e-32,3.636479321736285e-33,0.0,1.171707044259281e-33,2.5352092677002675e-35,4.057678495425055e-37,9.971157900734402e-34,2.1945806948592664e-33,1.765616955664856e-32,-1.3611860300177213e-32,0,17,5,0.08158633214085166
0.3086582838174551,197097747111804.47,6.0,5.95,5.9,1.6057210687362336e+65,7.388104305798251e+64,3.363370648946925e+64,0.0,0.9999443362637812,0.00011365571261117582,0.9970899293573307,0.0027964149300580394,3.910158479321458e-16,13861.960782338921,2.1431484379716532e-13,1.6424442292790075e-13,0.0,9.219758474104085e+48,6.504132489017137e+50,1.368316125215811e+50,1.6057210687362336e+65,0.03786362828470978,4.105322656413776e+50,7.388104305798251e+64,0.019279082144670792,9.617768830337963e+49,3.363370648946925e+64,0.0009502163250604961,2.1580036738023598e+48,0.0,1.9196668619299557,0.0,6.3847031318395e-33,5.230904049386673e-33,1.1537990824528255e-33,0.0,1.640296276335982e-32,3.666377594134078e-33,0.0,1.1715798907499602e-33,2.5624284650961593e-35,4.0741310997781325e-37,9.960532196960521e-34,2.1936648082069517e-33,1.7622531045704654e-32,-1.3431492722072105e-32,0,17,6,0.09073689211824668
0.40245483899193585,256992752951569.16,6.0,5.95,5.9,1.550570910661551e+65,7.614129271476648e+64,3.660275381766261e+64,0.0,0.999942724120163,0.00011014132212879211,0.9971071974815496,0.00278266119632167,3.9021719495594904e-16,13833.663136110123,2.084589545205906e-13,1.7090142200723166e-13,0.0,8.903096292136565e+48,6.504132489017137e+50,1.368316125215811e+50,1.550570910661551e+65,0.03880579352597443,4.062965766259349e+50,7.614129271476648e+64,0.01966000179660674,1.0107849371977467e+50,3.660275381766261e+64,0.000940732830235556,2.3250645990270144e+48,0.0,1.9196951362706753,0.0,6.542031375827018e-33,5.360104358896979e-33,1.181927016930039e-33,0.0,1.6416857111843932e-32,3.6970153268060615e-33,0.0,1.1714426751675304e-33,2.5917070872632116e-35,4.0914382928269816e-37,9.949150824335816e-34,2.192683972303027e-33,1.7586536886024926e-32,-1.3237189482500935e-32,0,17,7,0.09625693230646284
0.49999999999999994,319281479625492.3,6.0,5.95,5.9,1.4961572875345129e+65,7.819508263359669e+64,3.9663126595141235e+64,0.0,0.9999410261448205,0.00010705469235764066,0.997124538200877,0.0027684071067653063,3.8939891861197486e-16,13804.670771937002,2.0264659344157412e-13,1.77255352492918e-13,0.0,8.590663159944398e+48,6.504132489017137e+50,1.368316125215811e+50,1.4961572875345129e+65,0.03979256481081783,4.020074920092687e+50,7.819508263359669e+64,0.020066205855028364,1.059496846708863e+50,3.9663126595141235e+64,0.0009340873844612748,2.501666512308633e+48,0.0,1.919724660391246,0.0,6.70458076849775e-33,5.494048562568593e-33,1.2105322059291569e-33,0.0,1.64322305679427e-32,3.7270082603383215e-33,0.0,1.1713008553508896e-33,2.6217604919048206e-35,4.108678910113031e-37,9.93747750023406e-34,2.1916770781843552e-33,1.754965832892319e-32,-1.3036754638609796e-32,0,17,8,0.09820506291094525
0.5975451610080641,381570206299415.56,6.0,5.95,5.9,1.4446471715461802e+65,7.996184065062369e+64,4.269558980604647e+64,0.0,0.9999393097581313,0.00010444620119235044,0.9971413502621579,0.0027542035366499313,3.8859307229514397e-16,13776.119331887567,1.971097309178865e-13,1.830576387967141e-13,0.0,8.294901437916744e+48,6.504132489017137e+50,1.368316125215811e+50,1.4446471715461802e+65,0.040783708475563764,3.97835439384721e+50,7.996184065062369e+64,0.020480191465945218,1.1057877065084422e+50,4.269558980604647e+64,0.0009301514170179756,2.681585395452814e+48,0.0,1.9197542686662974,0.0,6.86592126140915e-33,5.6272937829491067e-33,1.2386274784600445e-33,0.0,1.6448436667225538e-32,3.755223537729295e-33,0.0,1.1711599752878412e-33,2.651285814961677e-35,4.124976305424012e-37,9.925969410549978e-34,2.1906822721229982e-33,1.7513339975558438e-32,-1.2838100986272285e-32,0,17,9,0.09625693230646283
