shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,lp_pass,selected_model,one_mode_status,two_mode_status,refinement_status,farkas_h_dot_y
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.39482269097884906e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,3,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-9.30440870783919537e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,4,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.18074406771293647e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-4.76398560400589636e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,6,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.49062290536725073e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,7,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.91250456068795766e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,8,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-3.54073023209587223e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,9,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.74032878537973645e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,10,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-2.89473531392197524e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,11,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-6.04815974390689854e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,12,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-6.40333324865804271e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,13,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-4.14635329774803385e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,14,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-7.60174596392621926e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,15,5.84999999999999964e+00,1.04892439548289094e+01,False,NONE,,,NOT_RUN,-1.28187073783796401e-01
