shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,equilibrium_pass,violated_constraints,temperature_min_K,temperature_max_K,minimum_row_capacity_slack,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,11,10.0,True,,3871.750424798931,75834.7388273987,-2.37684487542793e+29,1.2107037886826702e-211,1.2100749557562693e-211,6.288329264008405e-215,3.514291773748204e-208,6.547738076416822e-210,1.8061622680361421e-211,0.024692857750748504,0.9991047663487352,-1.2203681242424353e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,12,10.0,True,,3228.570027055077,84666.87223468165,-4.867778304876401e+32,5.317447710436164e-210,5.314685857336175e-210,2.7618530999892644e-213,3.5142917737482047e-208,4.614438203393919e-210,1.5617383989499687e-211,0.0252741988438571,0.9606810668825683,-7.96358230668124e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,13,10.0,True,,3511.6019456467197,79972.80031488862,-1.6225927682921336e+32,7.836331410062838e-211,7.83226126256853e-211,4.070147494308161e-214,3.514291773748202e-208,4.614438235887511e-210,1.558753363349261e-211,0.05879869434051872,0.99420556237923,-9.4033600495585e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,14,10.0,True,,3511.9606534508757,79972.80032994694,-4.056481920730334e+31,5.274872524908123e-211,5.272132785087279e-211,2.7397398208442116e-214,3.5142917737482056e-208,4.614438238654683e-210,1.5572535913988013e-211,0.06069272012267708,0.9960995881613882,-6.201166055527826e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,15,10.0,True,,3511.601948654176,79972.80038338008,-4.056481920730334e+31,6.360342104820218e-211,6.357038578047966e-211,3.303526772252056e-214,3.514291773748203e-208,4.614438248473817e-210,1.557960836311604e-211,0.05989008870742485,0.995296956746136,-1.0333691583696786e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,16,10.0,True,,3511.601951576927,79972.80044994252,-3.802951800684688e+30,6.348398833541537e-211,6.345101510022917e-211,3.297323518619338e-214,3.5142917737482047e-208,4.614438260705573e-210,1.5578634555551564e-211,0.05989891994959558,0.9953057879883068,-9.673828831008719e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,17,10.0,True,,3511.6019511961754,79972.80044127126,-9.903520314283042e+28,6.536732735481975e-211,6.533337592370265e-211,3.3951431117108984e-214,3.5142917737482056e-208,4.614438259112116e-210,1.5579886035516588e-211,0.0597596597537763,0.9951665277924875,-9.426122367210135e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,0,100.0,True,,3506.445690584805,82842.61325782552,-4.381000474388761e+33,1.0225199563751228e-210,1.0219933845559504e-210,5.265718191723598e-214,3.514291773748183e-208,7.509925079149571e-210,1.916776475215804e-211,0.006646733380928079,0.992439155782003,-8.294273715715966e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,1,100.0,True,,3866.069005617024,70706.43748742595,-4.4621301128033675e+32,4.859296697513502e-212,4.856794271765175e-212,2.5024257483256654e-215,3.5142917737481987e-208,7.509932712280724e-210,1.9078277646579567e-211,0.013848265439686923,0.9996406878407619,-9.280069728275395e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,2,100.0,True,,3866.3433046709165,70706.44599757851,-1.724004816310392e+32,3.9954945636434313e-212,3.993436974630145e-212,2.0575890132865395e-215,3.514291773748188e-208,7.50993389865689e-210,1.906681901300988e-211,0.013912137771259967,0.9997045601723349,-7.742832114199798e-17
