shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,relaxation_lambda,absolute_state_feasible,shape_only_feasible,absolute_mass_min_cMpc3,absolute_mass_cap_slack_min_cMpc3,absolute_volume_cap_slack_min_cMpc3,absolute_opacity_min_cMpc_inv,absolute_cycling_slack_min_s_inv_cMpc3,shape_mass_simplex_residual,shape_mass_min,shape_mass_upper_slack_min,shape_opacity_simplex_residual_max,shape_opacity_min,shape_cycling_slack_min,blocking_for_R2B_core_gate,definition
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,2,5.75,100.0,0.10309414093816975,False,False,1.1446137456920243e+62,-6.610984920660518e+65,2.1571935775997925e+63,1.6102717297563597e-06,-1.9193991556701056e+49,8.881784197001252e-16,-0.40253598459407797,0.00012065425392130731,1.3322676295501878e-15,-0.47362971154871336,-0.08287378555229735,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,2,5.75,300.0,0.035618315480829735,False,False,3.158124536046928e+62,-3.1207272447238633e+66,1.540953580191006e+63,4.5142870305608585e-06,-6.924323287291661e+49,1.9984014443252818e-15,-1.4085005772556876,-0.13915714672212087,3.6637359812630166e-15,-1.6396637235526899,-0.29245308678032256,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75,10.0,0.6631251333278736,True,True,1.748374732219616e+61,2.3299480833744242e+62,2.4510816706721493e+63,2.5204461003075875e-07,6.3142633254083916e+44,0.0,1.5784531233827873e-05,0.00020342419294666728,2.220446049250313e-16,8.972472222193314e-06,2.7309878597318507e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75,100.0,0.10309414093816975,False,True,8.529165377033327e+60,2.585604892906067e+62,2.4766473516253136e+63,3.426124107315186e-07,-2.5574533741928685e+49,2.220446049250313e-16,1.4609894101593556e-05,0.00020345588564308912,3.1086244689504383e-15,8.972472222193314e-06,1.3476980244590134e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75,300.0,0.035618315480829735,False,False,-1.0686139778943237e+65,2.858521680324122e+62,2.53399500103631e+63,5.457695451738664e-07,-1.0526631336242442e+50,6.661338147750939e-16,1.1975007177677133e-05,0.0002035269771053748,9.103828801926284e-15,8.972472222193314e-06,-0.0003695565030724171,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,2,5.65,10.0,0.6767183149208609,True,True,3.6651971223414896e+60,2.679684075129373e+62,3.2343793856747228e+63,3.8987725668134996e-08,5.093176815355326e+44,2.220446049250313e-16,1.5138103005124204e-05,0.0004871691963736522,2.220446049250313e-16,8.427363941816465e-06,2.079369623774003e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,2,5.65,100.0,0.10678067591089353,False,False,-1.265667702852109e+66,3.4468832086553894e+62,3.463256662622493e+63,-0.06437069464625707,3.6929281005347924e+45,5.551115123125783e-16,-0.05427682820635321,0.00044500017624503287,1.3322676295501878e-15,-0.12371523340966961,-0.01802969532111337,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,2,5.65,300.0,0.0369414231098882,False,False,-4.191058183081791e+66,5.169047807566397e+62,3.977027242684329e+63,-0.21126605095423456,1.083931411784752e+46,1.4432899320127035e-15,-0.6250707888948474,-0.4438679185068321,4.440892098500626e-15,-0.8668448957969621,-0.11264906497804694,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,2,5.65,10.0,0.6767183149208609,True,True,1.0110392486465527e+61,2.587565459813595e+62,3.2132632627916326e+63,1.2540760587444093e-07,4.1661803273986876e+44,2.220446049250313e-16,1.541087488134171e-05,0.00042168695780275887,1.1102230246251565e-16,8.603587465247284e-06,2.0436563701993292e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,2,5.65,100.0,0.10678067591089353,True,True,1.9709225239545073e+61,2.2238616335506435e+62,3.1768928801653377e+63,2.2873121920341384e-07,9.759732351833019e+44,2.220446049250313e-16,1.5625677309105974e-05,0.0004217552418745922,1.2212453270876722e-15,8.603587465247284e-06,2.286762688566238e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
