shape_lane,interval_index,substep,macro_index,tau_Myr,refinement,refined_substep,elapsed_Myr,status,physical_active_capacity_count,physical_active_capacity_sha256,minimum_capacity_slack,H_nuclei_total,HII_nuclei_total,HI_nuclei_total,H_nuclei_identity_residual,thermal_measure_erg_cMpc3,temperature_min_K,temperature_max_K,current_G1_total,current_G2a_total,capacity_total,kappa_G1_total,kappa_G2a_total,phi_G1,phi_G2a,current_Gamma_residual_max,current_TV_to_exact_G1,current_TV_to_exact_G2a,xHII_min,xHII_max,z_mid,error_mass_l1_relative,error_ionized_l1_relative,error_thermal_l1_relative,error_capacity_l1_relative,error_current_l1_relative,error_temperature_mass_weighted_relative,projection_pass,projection_solver_status,projection_active_set_count,projection_active_set_sha256,projection_max_column_relative_residual,projection_max_capacity_violation,projection_max_capacity_relative_violation,projection_max_stationarity_residual,projection_max_complementarity_residual,projection_projection_generalized_kl_to_raw,projection_projection_TV_G1,projection_projection_TV_G2a,He_nuclei_total,He_nuclei_identity_residual,equilibrium_violations
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,10.0,1,1,10.117419563765695,PASS,2345.0,821eaa86843857a556e684faed8b90de92483de321a5d2ac5f8814060f68c5d6,-2.4338891524382005e+32,9.538598741537304e+64,9.466544366074388e+64,7.205437546291627e+62,0.0,2.873897372489208e+53,2679.4009652168306,84696.36008104897,3.5323758210993096e+49,9.51194206589198e+48,4.733837707453185e+49,0.0033432510012524792,0.0017468404186684098,1.0565691357830983e+52,5.44522668713081e+51,3.700993309817029e-17,7.379831812418059e-05,7.378816002812602e-05,0.8848866506221399,0.9994797229239056,5.95,9.375064673776632e-05,9.38218058726311e-05,9.187373537074975e-05,9.375064673778286e-05,0.0001475923261467946,1.8770873450568225e-06,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.4338891524382005e+32,5.1414714716691e-18,2.2204460492503128e-16,0.0,6.251412271774139e+31,2.8387551324491692e-19,1.725026845115128e-18,7.53549300581447e+63,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,10.0,2,1,5.058709781882848,PASS,2345.0,821eaa86843857a556e684faed8b90de92483de321a5d2ac5f8814060f68c5d6,-1.6225927682921336e+32,9.537480052963931e+64,9.465433285273027e+64,7.204676769090422e+62,0.0,2.8735670697584886e+53,2679.4072577087013,84696.55898788084,3.5323758210993086e+49,9.511942065891982e+48,4.73328252211674e+49,0.0033432510012524775,0.0017468404186684096,1.0565691357830983e+52,5.44522668713081e+51,7.402854862521761e-17,3.376973627430573e-05,3.37650879809987e-05,0.8848854491014562,0.9994797167901298,5.95,4.290703423622601e-05,4.29396072512009e-05,4.204788314367938e-05,4.290703423622649e-05,6.753750026775174e-05,8.591879575663592e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.6225927682921336e+32,3.4280496900626687e-18,2.2204460492503128e-16,0.0,1.3900877863083927e+31,7.067172288546797e-19,1.0171022775337372e-18,7.534609241841507e+63,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,10.0,2,2,10.117419563765695,PASS,2345.0,821eaa86843857a556e684faed8b90de92483de321a5d2ac5f8814060f68c5d6,-3.2451855365842673e+32,9.538974545368506e+64,9.466917614207839e+64,7.205693116066642e+62,0.0,2.8740083319059903e+53,2679.398851695589,84696.29327225161,3.5323758210993107e+49,9.511942065891982e+48,4.7340242122423e+49,0.00334325100125248,0.00174684041866841,1.0565691357830983e+52,5.44522668713081e+51,7.401694994342705e-17,4.2787866005252015e-05,4.27819763961067e-05,0.88488705418873,0.9994797249841174,5.95,5.435611830309647e-05,5.439737598489974e-05,5.3267895236239825e-05,5.435611830310598e-05,8.557323303696215e-05,1.0882822217589932e-06,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,3.2451855365842673e+32,6.8550252197530804e-18,2.2204460492503128e-16,0.0,1.4358996873592525e+32,2.4461409760693098e-18,3.492275549906004e-19,7.53578989084112e+63,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,10.0,4,1,2.529354890941424,PASS,2345.0,821eaa86843857a556e684faed8b90de92483de321a5d2ac5f8814060f68c5d6,-1.6225927682921336e+32,9.536581956949108e+64,9.464541296864815e+64,7.204066008429341e+62,0.0,2.8733018989386497e+53,2679.4123104616556,84696.71870633628,3.5323758210993065e+49,9.51194206589198e+48,4.732836812962274e+49,0.0033432510012524758,0.0017468404186684093,1.0565691357830983e+52,5.44522668713081e+51,7.403552045282317e-17,1.1944973824768006e-05,1.1943329638345527e-05,0.884884484302882,0.9994797118648229,5.95,1.5178853522757387e-05,1.5190378004715938e-05,1.4874882699641137e-05,1.5178853522778297e-05,2.3889250017778075e-05,3.039754367838077e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.6225927682921336e+32,3.428372522475703e-18,2.2204460492503128e-16,0.0,1.053199184746455e+32,2.0128220764702493e-18,1.695929216784344e-19,7.533899745989795e+63,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,10.0,4,2,5.058709781882848,PASS,2345.0,821eaa86843857a556e684faed8b90de92483de321a5d2ac5f8814060f68c5d6,-1.6225927682921336e+32,9.537661355478498e+64,9.465613354818714e+64,7.204800065978357e+62,0.0,2.8736206009351476e+53,2679.4062378031163,84696.52674847665,3.5323758210993086e+49,9.511942065891981e+48,4.733372499345385e+49,0.0033432510012524775,0.0017468404186684096,1.0565691357830983e+52,5.44522668713081e+51,3.7013570675804615e-17,1.880907733413944e-05,1.880648832637126e-05,0.8848856438474616,0.9994797177843102,5.95,2.3898372157018534e-05,2.3916514684218306e-05,2.3419841936669807e-05,2.3898372157055705e-05,3.7617056146726234e-05,4.785416566095203e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,1.6225927682921336e+32,3.427984525867201e-18,2.2204460492503128e-16,0.0,7.326264582694984e+31,8.988547754437263e-19,9.157171918184768e-19,7.534752470828013e+63,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,10.0,4,3,7.588064672824272,PASS,2345.0,821eaa86843857a556e684faed8b90de92483de321a5d2ac5f8814060f68c5d6,-3.2451855365842673e+32,9.538522851173037e+64,9.466468991811387e+64,7.205385936164933e+62,0.0,2.873874965185559e+53,2679.401392044551,84696.37357315217,3.5323758210993096e+49,9.511942065891981e+48,4.733800044408776e+49,0.0033432510012524792,0.0017468404186684098,1.0565691357830983e+52,5.44522668713081e+51,3.701022756826117e-17,2.221459007588223e-05,2.2211532310549302e-05,0.8848865691214651,0.9994797225078437,5.95,2.82226654206775e-05,2.8244088719966126e-05,2.765759991604917e-05,2.8222665420699727e-05,4.4427882735510576e-05,5.650814530196959e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,3.2451855365842673e+32,6.855349837636778e-18,2.2204460492503128e-16,0.0,2.562293553719713e+31,6.982940663100532e-20,1.1742090649616008e-18,7.535433052426699e+63,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,0,10.0,4,4,10.117419563765695,PASS,2345.0,821eaa86843857a556e684faed8b90de92483de321a5d2ac5f8814060f68c5d6,-3.2451855365842673e+32,9.539210433017465e+64,9.46715189767535e+64,7.2058535342114305e+62,0.0,2.8740779798280733e+53,2679.3975251482093,84696.25133984361,3.532375821099311e+49,9.511942065891981e+48,4.734141279106901e+49,0.00334325100125248,0.0017468404186684098,1.0565691357830983e+52,5.44522668713081e+51,7.401511956312407e-17,2.3322969598904297e-05,2.3319759268742488e-05,0.8848873074864931,0.9994797262772049,5.95,2.9628635710531116e-05,2.9651124601669946e-05,2.9035463022248552e-05,2.962863571056208e-05,4.664457704805797e-05,5.931902638678316e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,3.2451855365842673e+32,6.854855707213862e-18,2.2204460492503128e-16,0.0,1.2805278220737588e+32,2.662260207932325e-18,6.756637820294169e-17,7.535976242083797e+63,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,10.0,1,1,10.117419563765695,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-2.028240960365167e+31,8.678951781260024e+63,8.613391160961759e+63,6.55606202982651e+61,0.0,2.6148931720450834e+52,2679.400965216831,84696.36008104905,3.584220643979802e+48,4.9527668394111876e+47,4.30721013815025e+48,0.0003392320031498253,9.095611852333904e-05,1.0565691357830983e+52,5.44522668713081e+51,9.138039078329143e-17,7.354705547966812e-05,7.559890609420958e-05,0.8848866506221413,0.9994797229239055,5.95,9.37506467377853e-05,9.382180587264736e-05,9.187373537075629e-05,9.37506467377712e-05,0.00014759232614920326,1.877087345556948e-06,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.028240960365167e+31,4.708943597621183e-18,2.2204460492503128e-16,0.0,4.406354293393082e+31,1.2368209838280279e-17,1.1865349909895602e-17,6.856371907195419e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,10.0,2,1,5.058709781882848,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-2.028240960365167e+31,8.677933912236533e+63,8.61238021407518e+63,6.555369816135273e+61,0.0,2.614592637181335e+52,2679.4072577087018,84696.5589878809,3.584220643979805e+48,4.952766839411188e+47,4.3067049877717486e+48,0.00033923200314982564,9.095611852333907e-05,1.0565691357830983e+52,5.44522668713081e+51,9.139105827224412e-17,3.365475976176057e-05,3.4593676201655595e-05,0.8848854491014574,0.9994797167901298,5.95,4.290703423621798e-05,4.293960725121653e-05,4.204788314369356e-05,4.2907034236215535e-05,6.753750026884038e-05,8.591879580664831e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.028240960365167e+31,4.709495928149379e-18,2.2204460492503128e-16,0.0,3.9881174882698116e+31,1.0120356983575033e-17,1.2791289049804257e-17,6.855567790666861e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,10.0,2,2,10.117419563765695,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-1.5211807202738753e+31,8.67929371652941e+63,8.613730770860494e+63,6.556294566891587e+61,0.0,2.6149941314683716e+52,2679.398851695589,84696.29327225166,3.5842206439798006e+48,4.952766839411187e+47,4.307379834571661e+48,0.0003392320031498252,9.095611852333901e-05,1.0565691357830983e+52,5.44522668713081e+51,9.137680778600935e-17,4.26421852818804e-05,4.383183717901296e-05,0.8848870541887316,0.9994797249841172,5.95,5.435611830309361e-05,5.4397375984933814e-05,5.326789523628207e-05,5.4356118303093897e-05,8.557323303836358e-05,1.088282221633962e-06,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.6380669844787586e-16,1.5211807202738753e+31,3.531568560693571e-18,2.2204460492503128e-16,0.0,3.499047319531878e+31,7.639246097697783e-18,1.1955189546099197e-17,6.856642036058234e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,10.0,4,1,2.529354890941424,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-3.0423614405477506e+31,8.677116755312458e+63,8.611568614322e+63,6.554814099045855e+61,0.0,2.614351364346453e+52,2679.4123104616556,84696.71870633631,3.584220643979807e+48,4.952766839411191e+47,4.306299447255275e+48,0.00033923200314982585,9.095611852333912e-05,1.0565691357830983e+52,5.44522668713081e+51,4.5699812028601725e-17,1.1904304527778511e-05,1.2236416458124706e-05,0.8848844843028834,0.9994797118648229,5.95,1.5178853522759019e-05,1.5190378004721864e-05,1.4874882699626805e-05,1.5178853522764064e-05,2.388925001816676e-05,3.0397543653374634e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,3.0423614405477506e+31,7.06490915880658e-18,2.2204460492503128e-16,0.0,3.0282936530453605e+31,1.0827751683987214e-17,1.0112476112038719e-17,6.854922236696842e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,10.0,4,2,5.058709781882848,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-2.028240960365167e+31,8.678098875227888e+63,8.612544055216489e+63,6.555482001139943e+61,0.0,2.614641343968738e+52,2679.4062378031167,84696.52674847671,3.5842206439798045e+48,4.952766839411189e+47,4.306786855984258e+48,0.0003392320031498256,9.095611852333907e-05,1.0565691357830983e+52,5.44522668713081e+51,9.138932925507371e-17,1.8745037683385222e-05,1.926799562971664e-05,0.884885643847463,0.9994797177843102,5.95,2.3898372157053507e-05,2.3916514684229127e-05,2.3419841936681967e-05,2.3898372157035976e-05,3.761705614733012e-05,4.785416571096442e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.028240960365167e+31,4.709406404793255e-18,2.2204460492503128e-16,0.0,3.972649937937189e+31,9.078012168235328e-18,1.5576109735888265e-17,6.855698111430031e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,10.0,4,3,7.588064672824272,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-2.028240960365167e+31,8.678882730361673e+63,8.613322579652088e+63,6.556015070958561e+61,0.0,2.6148727841544525e+52,2679.4013920445514,84696.37357315223,3.5842206439798025e+48,4.9527668394111876e+47,4.307175869411707e+48,0.0003392320031498253,9.095611852333904e-05,1.0565691357830983e+52,5.44522668713081e+51,9.138111437299878e-17,2.2138955606297083e-05,2.2756598683490637e-05,0.8848865691214665,0.9994797225078437,5.95,2.8222665420702113e-05,2.824408871994658e-05,2.7657599916069756e-05,2.822266542071239e-05,4.4427882736222226e-05,5.650814525195713e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,2.028240960365167e+31,4.70898106290281e-18,2.2204460492503128e-16,0.0,3.158224082458828e+31,1.0559491162359142e-17,8.672777475741336e-18,6.856317356985722e+62,0.0,
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,1,10.0,4,4,10.117419563765695,PASS,2346.0,30b9e4c7f669f12ded21d5a027fda40962fa16e18c58f1259435f1c2176836b4,-3.0423614405477506e+31,8.679508345280084e+63,8.613943940003339e+63,6.556440527674523e+61,0.0,2.6150575025120444e+52,2679.39752514821,84696.25133984366,3.5842206439798006e+48,4.952766839411186e+47,4.307486351021361e+48,0.0003392320031498252,9.095611852333903e-05,1.0565691357830983e+52,5.44522668713081e+51,9.137455892424802e-17,2.3243561406866054e-05,2.3892021300257555e-05,0.8848873074864946,0.9994797262772049,5.95,2.9628635710538994e-05,2.9651124601658365e-05,2.9035463022263176e-05,2.9628635710546743e-05,4.6644577048820114e-05,5.931902639928629e-07,True,IDENTITY_FEASIBLE,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,3.0423614405477506e+31,7.062962462612023e-18,2.2204460492503128e-16,0.0,1.445038466712261e+31,9.43512807036208e-18,1.1753312974192326e-17,6.856811592771266e+62,0.0,
