macro_density_index,zre_index,density_sigma,z_re,W_density_fixed,W_zre_fixed,W_macro_fixed,weight_lock_redshift
0,0,-1.7320508075688772,6.0,0.2897302512309989,0.21802957098853032,0.06316976237829379,6.0
0,1,-1.7320508075688772,7.0,0.2897302512309989,0.4176475969521446,0.12100514319096782,6.0
0,2,-1.7320508075688772,8.0,0.2897302512309989,0.23521256926421646,0.06814819678561017,6.0
0,3,-1.7320508075688772,9.0,0.2897302512309989,0.11706036783047857,0.033915929780717696,6.0
0,4,-1.7320508075688772,12.0,0.2897302512309989,0.011745040818424776,0.003402893627040547,6.0
0,5,-1.7320508075688772,15.0,0.2897302512309989,0.00030485414620541113,8.832546836890543e-05,6.0
1,0,0.0,6.0,0.645750613300059,0.21802957098853032,0.1407927291833922,6.0
1,1,0.0,7.0,0.645750613300059,0.4176475969521446,0.2696961918751432,6.0
1,2,0.0,8.0,0.645750613300059,0.23521256926421646,0.1518886608582504,6.0
1,3,0.0,9.0,0.645750613300059,0.11706036783047857,0.07559180431966203,6.0
1,4,0.0,12.0,0.645750613300059,0.011745040818424776,0.007584367311732026,6.0
1,5,0.0,15.0,0.645750613300059,0.00030485414620541113,0.0001968597518792101,6.0
2,0,1.7320508075688772,6.0,0.06451913546894207,0.21802957098853032,0.01406707942684431,6.0
2,1,1.7320508075688772,7.0,0.06451913546894207,0.4176475969521446,0.026946261886033534,6.0
2,2,1.7320508075688772,8.0,0.06451913546894207,0.23521256926421646,0.015175711620355902,6.0
2,3,1.7320508075688772,9.0,0.06451913546894207,0.11706036783047857,0.007552633730098835,6.0
2,4,1.7320508075688772,12.0,0.06451913546894207,0.011745040818424776,0.0007577798796522024,6.0
2,5,1.7320508075688772,15.0,0.06451913546894207,0.00030485414620541113,1.9668925957295592e-05,6.0
