         69460 function calls (69418 primitive calls) in 3.286 seconds

   Ordered by: cumulative time
   List reduced from 220 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.014    0.001    0.071    0.006 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/array_owner_kernel.py:423(evaluate_values)
      252    0.049    0.000    0.071    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_trapezoid.py:43(particles)
        6    0.005    0.001    0.058    0.010 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/pds_decomposition.py:67(flux_rhs)
      510    0.038    0.000    0.049    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_trapezoid.py:26(_pop)
     6099    0.047    0.000    0.047    0.000 {built-in method numpy.asarray}
     5643    0.005    0.000    0.041    0.000 /opt/pyvenv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2477(any)
     5652    0.008    0.000    0.036    0.000 /opt/pyvenv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
      567    0.011    0.000    0.032    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/thermal_trapezoid.py:35(_vec)
       24    0.014    0.001    0.027    0.001 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/array_owner_kernel.py:364(_subgrid_measure_values)
       39    0.000    0.000    0.022    0.001 /opt/pyvenv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3052(max)
        6    0.002    0.000    0.022    0.004 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/thermal_backends.py:62(thermal_terms_numpy)
        6    0.000    0.000    0.021    0.003 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/pds_decomposition.py:57(decompose_conservative_rhs)
      192    0.007    0.000    0.015    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/array_owner_kernel.py:104(_allocate)
       15    0.013    0.001    0.014    0.001 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/mprk22.py:39(_flux)
      969    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
      849    0.001    0.000    0.012    0.000 /opt/pyvenv/lib/python3.13/site-packages/numpy/lib/_stride_tricks_impl.py:367(broadcast_to)
       42    0.000    0.000    0.012    0.000 /opt/pyvenv/lib/python3.13/site-packages/jax/_src/numpy/array_constructors.py:322(asarray)
       42    0.000    0.000    0.012    0.000 /opt/pyvenv/lib/python3.13/site-packages/jax/_src/numpy/array_constructors.py:85(array)
       12    0.012    0.001    0.012    0.001 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/pds_decomposition.py:39(_allocate_block)
      849    0.009    0.000    0.012    0.000 /opt/pyvenv/lib/python3.13/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
       42    0.001    0.000    0.011    0.000 /opt/pyvenv/lib/python3.13/site-packages/jax/_src/api.py:2641(device_put)
      486    0.009    0.000    0.009    0.000 {built-in method numpy.zeros}
       24    0.005    0.000    0.008    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R1_CANONICAL_TIME_RESOLVED_GROUP_BOUNDARY_FLUX_DYNAMIC_OPACITY_AND_HEATING_MOMENT_EXTRACTION_LOCK_RERUN_V2/inputs/canonical_b2c2a_r1_src/hi_transmission_kernel_b2c1a.py:173(jeans_length_cm)
       12    0.003    0.000    0.008    0.001 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_ADAPTIVE_INTERNAL_MICROSTEP_ACCEPTANCE_AND_GLOBALIZATION_LOCK/analysis/physical_trial.py:79(photo_fields)
        6    0.006    0.001    0.007    0.001 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/pds_decomposition.py:22(_validate)
       30    0.003    0.000    0.007    0.000 /mnt/data/rei_bianchi_r2b_r2a_r1_work/stages/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R2C_R1B_R2B_R2A_R1_POSITIVITY_CONSERVATIVE_SECOND_ORDER_THERMOCHEMISTRY_PREFLIGHT/analysis/mprk22.py:30(_state)
       42    0.000    0.000    0.007    0.000 /opt/pyvenv/lib/python3.13/site-packages/jax/_src/dispatch.py:570(_batched_device_put_impl)
      210    0.005    0.000    0.005    0.000 {built-in method numpy.ascontiguousarray}
      117    0.005    0.000    0.005    0.000 /opt/pyvenv/lib/python3.13/site-packages/numpy/_core/numeric.py:98(zeros_like)
       42    0.000    0.000    0.005    0.000 /opt/pyvenv/lib/python3.13/site-packages/jax/_src/profiler.py:356(wrapper)
