interval_index,node_index,fraction,z_snapshot,H_nuclei_relative_residual,He_nuclei_relative_residual,xHII_relative_residual,xHeI_relative_residual,xHeII_relative_residual,xHeIII_relative_residual,U_relative_residual,minimum_species,minimum_temperature_K,thermal_normalization_factor
3,14,0.9619397662556434,5.603806023374435,2.709503884302863e-16,2.1435948451763156e-16,2.220587401912747e-16,3.834683223991241e-12,3.3386567921394367e-16,7.032441157293167e-14,1.4638758464858728e-16,4.447756440756604e-154,2150.3984119006814,0.8425541958354736
3,15,0.9903926402016152,5.600960735979838,0.0,0.0,0.0,1.9554032616018455e-13,2.225762243752409e-16,1.0516669735815123e-13,0.0,4.3949550285136405e-154,2152.566175592509,0.8435838356038567
3,16,1.0,5.6,2.709503884302863e-16,4.2871896903526313e-16,0.0,8.1164848544155e-13,2.225759234189869e-16,1.7380295722312455e-14,1.4624724345121172e-16,4.377467168845722e-154,2153.3008574383657,0.8439318898942525
4,0,0.0,5.6,2.709503884302863e-16,2.1435948451763156e-16,0.0,1.358177470621876e-13,2.225759234189869e-16,0.0,1.4624724345121066e-16,4.377465416241765e-154,2100.4937225522926,0.8064311910387951
4,1,0.0096073597983847,5.599039264020162,2.709503884302863e-16,4.2871896903526313e-16,1.110290482672277e-16,1.826974382917517e-12,3.33862941007201e-16,2.6923564885027508e-14,0.0,4.2601383220715946e-154,2101.091095310005,0.806763911145647
4,2,0.0380602337443566,5.596193976625564,1.3547519421514314e-16,2.1435948451763156e-16,2.220580123865419e-16,2.164749435387015e-12,1.1128725713217098e-16,6.421617349286535e-14,1.4611482698726128e-16,4.232226867298257e-154,2102.8668180952823,0.8077505455686729
4,3,0.0842651938487273,5.591573480615127,2.709503884302863e-16,2.1435948451763156e-16,1.1102910501588476e-16,7.474344938937816e-13,0.0,9.906655470536117e-14,0.0,4.235587191849699e-154,2105.7899021066946,0.8093563103658994
4,4,0.1464466094067262,5.585355339059327,2.709503884302863e-16,4.2871896903526313e-16,1.1102924530143225e-16,2.834694971067847e-12,5.564298615195506e-16,7.282392572258299e-14,1.4573670176938307e-16,4.242335449180159e-154,2109.8029326329915,0.8115241827346245
4,5,0.2222148834901988,5.57777851165098,2.709503884302863e-16,2.1435948451763156e-16,1.1102941785283903e-16,2.4515019417477854e-12,3.3385524571983783e-16,8.120463558977048e-14,1.4546981060134062e-16,4.2524048584185224e-154,2114.8033094672037,0.8141764533169917
4,6,0.3086582838174551,5.569134171618254,0.0,0.0,0.0,1.7670555196456752e-12,0.0,7.015909190160262e-15,0.0,4.266043251942169e-154,2120.3425710427796,0.8172168553248802
