substeps,success,elapsed_seconds,sink_H_fraction_final,xHII_diffuse_final,T_diffuse_final,max_reaction_limiter,max_energy_limiter,max_sink_volume_filling,max_macro_redistribution_TV,max_sink_opacity_fraction,error_type,error,traceback
1,True,4.337246191000304,0.11332652244454669,0.9977779493039914,13557.76767139609,0.032280150693710805,0.0,2664448.7617488485,0.05312322345183739,0.2041602159036111,,,
2,True,7.382056296999963,0.5103410562491395,0.9914472008224102,12971.76137866987,0.012704866333576079,0.007750453528262908,2769071.1467559575,0.508577547030418,0.40181360820055795,,,
4,False,6.572088630000053,,,,,,,,,RuntimeError,macro sink capacity exhausted remaining=7.134867e+46 total=2.854058e+50,"Traceback (most recent call last):
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/run_first_interval_refinement.py"", line 16, in main
    ep,g,l,s=M.run_lane(f'FIRST_INTERVAL_DT_OVER_{ns}','LOCAL_NEUTRAL_HAZARD_PRIMARY','BASELINE','DETERMINISTIC',hist,forcings[:1],macro_template,micro,mapping,ns,initial,save_nodes=False)
             ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/node_resolved_joint_history.py"", line 470, in run_lane
    pdg=photon_step(state,geom,forcing,shape,dt,relax_tau)
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/node_resolved_joint_history.py"", line 404, in photon_step
    rejected,redistribution_tv=redistribute_sink_rates(
                               ~~~~~~~~~~~~~~~~~~~~~~~^
        rejected,state,geom,forcing,dt,actual_mass=True
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/node_resolved_joint_history.py"", line 315, in redistribute_sink_rates
    alloc_total=waterfill(total,capacity,base)
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/node_resolved_joint_history.py"", line 294, in waterfill
    if remaining>1e-8*max(total,1): raise RuntimeError(f'macro sink capacity exhausted remaining={remaining:.6e} total={total:.6e}')
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: macro sink capacity exhausted remaining=7.134867e+46 total=2.854058e+50
"
8,False,3.646809835000113,,,,,,,,,RuntimeError,macro sink capacity exhausted remaining=1.088789e+49 total=2.732564e+50,"Traceback (most recent call last):
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/run_first_interval_refinement.py"", line 16, in main
    ep,g,l,s=M.run_lane(f'FIRST_INTERVAL_DT_OVER_{ns}','LOCAL_NEUTRAL_HAZARD_PRIMARY','BASELINE','DETERMINISTIC',hist,forcings[:1],macro_template,micro,mapping,ns,initial,save_nodes=False)
             ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/node_resolved_joint_history.py"", line 470, in run_lane
    pdg=photon_step(state,geom,forcing,shape,dt,relax_tau)
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/node_resolved_joint_history.py"", line 404, in photon_step
    rejected,redistribution_tv=redistribute_sink_rates(
                               ~~~~~~~~~~~~~~~~~~~~~~~^
        rejected,state,geom,forcing,dt,actual_mass=True
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/node_resolved_joint_history.py"", line 315, in redistribute_sink_rates
    alloc_total=waterfill(total,capacity,base)
  File ""/mnt/data/Bianchi_Reionization_Stage_P0_5_B2C2B0C_R1_NODE_RESOLVED_JOINT_CHEMISTRY_SINK_HISTORY_LOCK/src/node_resolved_joint_history.py"", line 294, in waterfill
    if remaining>1e-8*max(total,1): raise RuntimeError(f'macro sink capacity exhausted remaining={remaining:.6e} total={total:.6e}')
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: macro sink capacity exhausted remaining=1.088789e+49 total=2.732564e+50
"
